FIPS,County,Mobility and Infrastructure Score
38101,101,82.36204232261848
8099,99,82.34863284124725
56007,7,82.29894431603894
6015,15,82.27721208951318
56039,39,82.19073242196191
27103,103,82.1799851665832
56025,25,82.14121747559436
8017,17,82.12315049338609
51680,680,82.09024753800172
19033,33,82.02720737807742
20009,9,82.00488173792023
46085,85,81.99449194253928
30069,69,81.98714734634129
49021,21,81.95793443234277
20131,131,81.93049707212425
8063,63,81.92733706061192
56021,21,81.92160496069324
27015,15,81.91486439680097
20135,135,81.84919705212785
20033,33,81.84746482755074
19061,61,81.81375789543516
38011,11,81.8020485161723
20161,161,81.79849345372092
56031,31,81.75994807171293
31111,111,81.72927069765494
27109,109,81.68656196038928
38017,17,81.6657550955258
16059,59,81.63375205954702
20163,163,81.63197264040033
35009,9,81.598774406895
38089,89,81.59394749481902
31043,43,81.59265021207557
26061,61,81.53169606366201
31033,33,81.52966141159897
48443,443,81.49336604449076
53071,71,81.40313318569999
16085,85,81.30909835078592
20065,65,81.30697017981045
31089,89,81.30692843261158
49041,41,81.28413275829067
31019,19,81.27488323195719
20113,113,81.26953167013998
49025,25,81.26029870568232
30013,13,81.16052069583317
20023,23,81.13547590807997
51660,660,81.1324796987776
31001,1,81.11348413087956
38093,93,81.11137766459905
20007,7,81.04986455167148
20167,167,81.02057402786923
38023,23,81.02036481632955
48303,303,81.01719843711072
27071,71,80.97864921887552
38039,39,80.88722854016113
48269,269,80.8339363261185
27033,33,80.81419774113327
27155,155,80.80159432399563
20147,147,80.79925161411691
41037,37,80.75495272039043
46099,99,80.70238315801413
8077,77,80.64370273815233
30087,87,80.61176126362895
8125,125,80.56233565816223
48111,111,80.51029362452489
16067,67,80.49027720663766
31135,135,80.40919091709317
20195,195,80.39841158359843
46103,103,80.35539506854116
30049,49,80.3509024318245
41063,63,80.33450438944611
31137,137,80.31375396497847
8079,79,80.3128261596834
38105,105,80.19457639343027
26007,7,80.18278768831793
20111,111,80.16277057849935
30021,21,80.15415647068383
20101,101,80.13875606297091
8075,75,80.12731923185979
56027,27,80.09191194251076
19189,189,80.07412347647406
46051,51,80.03451691004345
48451,451,80.01629155773735
31179,179,80.00868634379317
48197,197,79.95400004233544
31045,45,79.9473878374801
46053,53,79.92533276512209
19059,59,79.89866851101264
40151,151,79.897045517984
48435,435,79.87255456630285
48043,43,79.86974015209246
20189,189,79.85587743414251
41061,61,79.84263115236567
27091,91,79.82558757126392
30031,31,79.81126096196289
53075,75,79.8021563853358
8095,95,79.80184315201254
56033,33,79.80168064631725
31047,47,79.75261899012642
16005,5,79.74250049226235
20171,171,79.7362555554718
18157,157,79.73448319619611
20037,37,79.70338612190598
16031,31,79.69726224050252
2198,198,79.67975911030042
8103,103,79.65998991136661
20133,133,79.65895528793517
16069,69,79.65735764233503
19145,145,79.65179934471566
46021,21,79.63682062977804
20145,145,79.58738221955676
30033,33,79.57698314188434
19193,193,79.57481438061299
48385,385,79.52156724107836
49053,53,79.51902117468671
8111,111,79.46916066983577
48109,109,79.45485850776669
19057,57,79.44994065488855
5005,5,79.41669711273974
27013,13,79.41523968222542
48069,69,79.40789587755668
38103,103,79.4060506760613
26095,95,79.3841980190285
8015,15,79.36804126168886
35051,51,79.36515952178613
40047,47,79.33885354629912
51540,540,79.3295895691857
26043,43,79.32023040022223
19191,191,79.31139785399188
41001,1,79.2970475475367
20093,93,79.27324046742366
20061,61,79.23825104383094
30111,111,79.22015783082489
17001,1,79.20220159984875
49005,5,79.18493853967536
56029,29,79.15340387748005
42023,23,79.13318080037558
55035,35,79.13235073485491
30005,5,79.1264285484065
30063,63,79.10137645380952
30027,27,79.08884518271906
48465,465,79.08313694892273
20029,29,79.08020051388448
21145,145,79.03628983512047
17019,19,79.01093424503233
46015,15,79.00486986973536
19093,93,78.9878118694077
20177,177,78.94548297054018
27063,63,78.9372602634544
35007,7,78.93637097665817
51640,640,78.92994998259542
46069,69,78.92790337751498
27023,23,78.91729876335522
30001,1,78.90226022745193
48087,87,78.89610336796305
6027,27,78.88414941097759
46073,73,78.88133643712675
40071,71,78.84163217477325
27127,127,78.83707047550939
40031,31,78.83088494398582
38079,79,78.82594344653842
38095,95,78.81183846264388
49007,7,78.76656409669721
30103,103,78.74716314897066
40039,39,78.7280848099747
55117,117,78.7101193148934
55003,3,78.69549453379518
17049,49,78.68869896402929
31065,65,78.61395317200244
48041,41,78.56800657477312
27031,31,78.54420351246904
51750,750,78.52904666787568
20075,75,78.50968871485998
29019,19,78.507075154718
26013,13,78.48814097139095
4012,12,78.45539308737632
20069,69,78.45062885214674
31171,171,78.44753671037687
46071,71,78.42960600271576
48503,503,78.42399466550923
19197,197,78.4121133566151
40139,139,78.38235055015777
48415,415,78.38067038603492
27067,67,78.37770267975664
46091,91,78.36796612316762
48263,263,78.32519606590179
31105,105,78.3010617089341
27073,73,78.28239348228452
29147,147,78.27667821998384
16083,83,78.27213630447231
31011,11,78.25577212603453
19109,109,78.25213186872432
38057,57,78.25063288440208
27117,117,78.21545608008967
41025,25,78.19799343859285
20119,119,78.19177131764205
51530,530,78.17689856010765
38073,73,78.14962218136895
30053,53,78.11717087446482
18037,37,78.10366723725477
8117,117,78.0684886321932
31059,59,78.0188160413034
17109,109,77.98844434564532
27105,105,77.98239718745417
20199,199,77.98051198862828
51720,720,77.97836251734465
27041,41,77.96058906890036
27011,11,77.95578778046726
20063,63,77.90228072437493
17115,115,77.89081663766709
20129,129,77.88504360672076
41021,21,77.87384335434966
56013,13,77.87047068190769
46007,7,77.86032291049277
20013,13,77.83361596957215
20109,109,77.83222229146436
19041,41,77.81300847818171
38021,21,77.80354931209487
19175,175,77.79195892170709
48341,341,77.78451609445854
30051,51,77.72282099575399
48017,17,77.70227148551015
20125,125,77.69912001800972
29097,97,77.66855038866368
55009,9,77.65294536273574
48369,369,77.6481047321414
38081,81,77.6323903625274
48023,23,77.62798033528868
46041,41,77.616269992223
46059,59,77.61182664128424
29127,127,77.5893349308444
56003,3,77.5665588365341
16065,65,77.56554118613826
19029,29,77.55834580627908
55063,63,77.5506643520397
19113,113,77.54577094499186
30035,35,77.5418671638556
2090,90,77.52446641566124
51775,775,77.51984873604066
39063,63,77.51670118031926
40009,9,77.47674901215967
31039,39,77.47444217984119
19187,187,77.4698990637553
49027,27,77.46448802517789
20025,25,77.41018987656261
38067,67,77.39851882773262
48375,375,77.38267681751705
31109,109,77.35741034094394
40123,123,77.35006655589108
16013,13,77.33656331440122
38099,99,77.33562045230995
29195,195,77.33211314772817
30085,85,77.31007315479258
48463,463,77.2948101482821
20117,117,77.25279499346895
39149,149,77.25018884485382
39011,11,77.23625697858834
32033,33,77.21912642525993
19147,147,77.20804726388255
51580,580,77.16136381183992
48207,207,77.13222595605198
20001,1,77.1231223911123
17113,113,77.104461336859
46017,17,77.09765632865593
48049,49,77.09697810883755
29051,51,77.09587553015064
46049,49,77.08876895084674
19047,47,77.06849432349094
17033,33,77.0631951406709
49009,9,77.04658110085273
19035,35,77.03800636658796
55073,73,77.037185730464
31127,127,77.00134890656436
46083,83,76.99985389426061
