FIPS,County,broadband_access_raw,population_density_2010,long_commute_shorter,mean_commute_time_lower
1001,1,0.9088043333,821.5462575833334,99.579,71.83552066666667
1003,3,0.8975085057,393.8915001290322,99.619,73.34247932258064
1005,5,0.7230176211,143.95300966666665,99.625,76.49143633333333
1007,7,0.8115176331,45.4047525,99.465,66.257307
1009,9,0.8392865268,92.4256838888889,99.386,64.13422844444445
1011,11,0.6498696785,20.8882355,99.572,71.056919
1013,13,0.7975764252,169.32318156666668,99.658,73.02015644444444
1015,15,0.8533850416,605.2209805141936,99.693,76.35847086666666
1017,17,0.7876145763,398.96150977777774,99.666,76.89501444444444
1019,19,0.8023289109,68.44108433333334,99.557,69.823874
1021,21,0.8212942919,106.00641988888889,99.496,65.54139966666666
1023,23,0.7174333204,15.07621575,99.435,63.472492
1025,25,0.70989115,31.44743422222222,99.637,71.01266977777777
1027,27,0.7776235906,26.53791525,99.597,72.57499075
1029,29,0.7515814669,30.174476,99.406,69.34826525
1031,31,0.8687919463,377.5030609285714,99.689,76.33894728571428
1033,33,0.7886195648,816.7616950714286,99.755,75.80979371428572
1035,35,0.6806537102,21.12211106,99.561,73.2250482
1037,37,0.8038562247,22.764187000000003,99.575,71.64971033333333
1039,39,0.7889617109,144.38143984285713,99.708,77.11639892857143
1041,41,0.68,22.75738683333333,99.528,66.30842899999999
1043,43,0.8565266479,209.46960077777777,99.649,70.17140933333333
1045,45,0.8446557742,242.7265241428572,99.689,77.5705505
1047,47,0.7928775298,672.85017968,99.69,76.1449908
1049,49,0.8528482232,109.93476164285714,99.697,75.36094885714286
1051,51,0.9006732454,278.8456951333334,99.514,70.49141246666667
1053,53,0.7539316172,129.717046,99.71,75.03146522222222
1055,55,0.8496169561,850.5005747666668,99.691,75.6988468
1057,57,0.7782184763,32.7350182,99.578,70.2909156
1059,59,0.6628137669,136.92519611111112,99.639,74.33111855555555
1061,61,0.765971564,53.01850983333333,99.589,71.97309133333333
1063,63,0.6038854132,14.442646033333332,99.559,68.46712366666667
1065,65,0.76033207,25.473696500000003,99.457,69.759996
