FIPS,State,County,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2023,RNETMIG2024,RNETMIG2025
1000,Alabama,Alabama,2.475988056,4.299621483,1.727670234,5.841063971,4.854241917,4.510945822,8.317052026,9.1538634,6.238616056
1001,Alabama,Autauga County,1.696366948,2.213513912,1.069726733,8.182475864,11.75621833,3.970955298,9.878842812,13.96973225,5.040682032
1003,Alabama,Baldwin County,3.609531719,4.761120104,1.526218661,26.27691177,24.80202386,22.71194701,29.88644349,29.56314397,24.23816567
1005,Alabama,Barbour County,1.294891249,5.040547956,2.68691351,-1.699544765,-9.593300949,2.971889185,-0.404653515,-4.552752993,5.658802695
1007,Alabama,Bibb County,0.273616526,1.768466875,1.034009936,-3.146590054,16.36965492,3.236900668,-2.872973528,18.1381218,4.270910603
1009,Alabama,Blount County,0.553593746,1.450676983,-0.199453166,6.072755639,6.953244848,1.34630887,6.626349385,8.40392183,1.146855704
1011,Alabama,Bullock County,1.497529077,2.226607965,0.712722089,-21.9637598,-0.101209453,-3.359975564,-20.46623072,2.125398512,-2.647253475
1013,Alabama,Butler County,0.324114088,1.80091683,0.769738289,-10.85782195,-1.637197119,-4.508467121,-10.53370787,0.163719712,-3.738728832
1015,Alabama,Calhoun County,0.680802658,1.332508038,0.318777274,7.695655359,2.2437716,-0.594476538,8.376458017,3.576279638,-0.275699264
1017,Alabama,Chambers County,6.9134506,8.562441752,1.429363204,0.175024066,-7.513979497,-0.262536099,7.088474665,1.048462255,1.166827105
1019,Alabama,Cherokee County,1.412651075,1.623564885,0.990457325,19.58091351,22.61393946,19.46629588,20.99356459,24.23750435,20.45675321
1021,Alabama,Chilton County,2.531864708,5.217317234,2.882026254,11.85864837,11.88270619,3.996970717,14.39051308,17.10002343,6.878996971
1023,Alabama,Choctaw County,0.405137139,-0.164244067,-0.250062516,-7.130413645,-7.801593167,-6.501625406,-6.725276506,-7.965837234,-6.751687922
1025,Alabama,Clarke County,0,0.359849763,0.135928049,-7.086035163,-5.847558644,-1.178043089,-7.086035163,-5.487708882,-1.04211504
1027,Alabama,Clay County,0.282176996,0.070529323,-0.140750906,0.070544249,8.322460063,3.448397199,0.352721244,8.392989385,3.307646293
1029,Alabama,Cleburne County,0.709654527,0.381158085,-0.314386318,20.77352344,17.34269288,14.58752515,21.48317796,17.72385097,14.27313883
1031,Alabama,Coffee County,3.328539513,6.201937214,1.481024375,11.90314674,6.39797546,6.188566139,15.23168625,12.59991267,7.669590514
1033,Alabama,Colbert County,1.029981031,3.862777797,2.091997267,8.531676208,9.12092026,6.98457152,9.56165724,12.98369806,9.076568787
1035,Alabama,Conecuh County,0.446887429,1.53166952,0.364564346,1.161907316,-0.90098207,-2.187386074,1.608794745,0.630687449,-1.822821728
1037,Alabama,Coosa County,-0.097148686,-0.291644388,-0.293470286,6.314664594,8.749331648,-1.956468574,6.217515908,8.45768726,-2.24993886
1039,Alabama,Covington County,0.159012005,1.370115669,0,15.26515252,3.293547282,3.530357119,15.42416452,4.663662952,3.530357119
1041,Alabama,Crenshaw County,1.143205548,3.346643849,2.584175724,7.240301806,-2.509982886,1.976134377,8.383507355,0.836660962,4.560310101
1043,Alabama,Cullman County,0.580771001,1.786806868,0.513973659,15.49453199,8.999009134,14.15569119,16.07530299,10.785816,14.66966485
1045,Alabama,Dale County,1.188330195,2.343515273,0.260166507,4.692897209,0.881321983,-3.121998079,5.881227404,3.224837256,-2.861831572
1047,Alabama,Dallas County,1.917072904,3.284392179,2.290594423,-12.46097387,-20.12386055,-12.27306148,-10.54390097,-16.83946837,-9.982467055
1049,Alabama,DeKalb County,2.363559714,7.304362099,2.844256633,6.855705371,5.991218351,4.144488237,9.219265085,13.29558045,6.98874487
1051,Alabama,Elmore County,0.666315,1.344137851,0.142365902,9.184041756,5.574866826,6.19839236,9.850356756,6.919004677,6.340758263
1053,Alabama,Escambia County,0.382163866,0.327385824,-0.245438927,2.292983198,4.146887107,3.872480842,2.675147065,4.474272931,3.627041916
1055,Alabama,Etowah County,1.193774901,2.535050459,0.694441096,6.774429924,2.834999178,6.06671457,7.968204825,5.370049637,6.761155666
1057,Alabama,Fayette County,-0.12496095,-0.188164456,-0.251627717,-1.249609497,2.697023866,2.704997956,-1.374570447,2.50885941,2.453370239
1059,Alabama,Franklin County,5.501375344,13.61582801,4.362758749,-4.501125281,-7.72706029,3.651103066,1.000250063,5.888767721,8.013861815
