FIPS,State,County,"Food, Water and Amenities Score"
25019,MA,Nantucket,99.99999999999999
8097,CO,Pitkin,91.32305645648727
56039,WY,Teton,91.02652083712978
51600,VA,Fairfax,90.98963290208343
16013,ID,Blaine,88.6075795710694
17031,IL,Cook,86.34579550769246
6041,CA,Marin,85.53174170297768
36059,NY,Nassau,85.47790740273297
51610,VA,Falls Church,85.33960997451408
35028,NM,Los Alamos,84.91023777676591
25021,MA,Norfolk,84.76499775554501
46083,SD,Lincoln,83.80495753357786
19059,IA,Dickinson,83.39431558091309
38057,ND,Mercer,83.3743167196606
34019,NJ,Hunterdon,83.01598473206742
25017,MA,Middlesex,82.5794669723556
53033,WA,King,82.56676843358281
24021,MD,Frederick,82.42735132589644
51107,VA,Loudoun,81.90970955604823
44009,RI,Washington,81.61863118867423
53055,WA,San Juan,81.60275454906608
34027,NJ,Morris,81.44492248812954
8035,CO,Douglas,81.3783898968193
34035,NJ,Somerset,81.36607116603697
33015,NH,Rockingham,81.34257572197265
8031,CO,Denver,80.65767031652972
51683,VA,Manassas,80.2766454322856
11001,DC,District of Columbia,80.14282556399516
25007,MA,Dukes,80.08313609640228
34003,NJ,Bergen,80.0207716387674
20091,KS,Johnson,80.00526718541832
51013,VA,Arlington,79.81650219952783
49043,UT,Summit,79.20311071825782
8113,CO,San Miguel,79.1849327481863
51047,VA,Culpeper,79.11303479313021
55133,WI,Waukesha,79.03782836523845
6081,CA,San Mateo,78.91068666998068
34025,NJ,Monmouth,78.66838702019778
27019,MN,Carver,78.15119521612071
6085,CA,Santa Clara,78.02792328757027
42091,PA,Montgomery,77.98143049478855
30031,MT,Gallatin,77.93089299836923
25027,MA,Worcester,77.89149930200225
36119,NY,Westchester,77.68589168661482
37183,NC,Wake,77.62795158542592
25023,MA,Plymouth,77.61103994334206
51059,VA,Fairfax,77.58766073354775
8117,CO,Summit,77.42475593726502
30063,MT,Missoula,77.34049796192114
24027,MD,Howard,77.28299795660166
27141,MN,Sherburne,77.18340561168846
17133,IL,Monroe,77.05334799705165
6075,CA,San Francisco,77.0290419678185
6001,CA,Alameda,76.96361803276162
47187,TN,Williamson,76.74095230009377
41067,OR,Washington,76.61024447905291
6061,CA,Placer,76.55237108178359
46099,SD,Minnehaha,76.53910546366515
17043,IL,DuPage,76.50990005281136
27163,MN,Washington,76.50507862157062
50015,VT,Lamoille,76.47395762796911
49029,UT,Morgan,76.44294386135444
51075,VA,Goochland,76.39579578351464
8107,CO,Routt,76.3813087201109
33003,NH,Carroll,76.36837428311007
6057,CA,Nevada,76.35238925364885
8013,CO,Boulder,76.34584971373995
55089,WI,Ozaukee,76.30529111655507
27139,MN,Scott,76.28868956285733
51085,VA,Hanover,76.15226469699837
18057,IN,Hamilton,76.12433033655594
55025,WI,Dane,76.08851731766494
27171,MN,Wright,75.80228526116869
51127,VA,New Kent,75.76064952901031
13219,GA,Oconee,75.75063001820713
27037,MN,Dakota,75.72347176845284
8049,CO,Grand,75.43657857318493
13113,GA,Fayette,75.34608999728356
34005,NJ,Burlington,75.33982644219955
51003,VA,Albemarle,75.29739881596682
30111,MT,Yellowstone,75.2606817183638
51685,VA,Manassas Park,75.19746988536707
13121,GA,Fulton,75.16823581618982
27123,MN,Ramsey,75.0670207200167
55109,WI,St. Croix,75.00332467691172
31055,NE,Douglas,74.95569162437116
19049,IA,Dallas,74.91050924440286
34039,NJ,Union,74.90975569294018
6017,CA,El Dorado,74.84660480016315
36103,NY,Suffolk,74.74817069694012
6055,CA,Napa,74.66555640172997
51153,VA,Prince William,74.63130132347105
27053,MN,Hennepin,74.62904131743072
6073,CA,San Diego,74.56922208164788
51179,VA,Stafford,74.56241201346126
38017,ND,Cass,74.51582868067855
24033,MD,Prince George's,74.50201936759682
50007,VT,Chittenden,74.47662059511907
6111,CA,Ventura,74.44626833750097
41027,OR,Hood River,74.40702217656865
6013,CA,Contra Costa,74.20205612760572
50023,VT,Washington,74.11410234427757
16001,ID,Ada,74.08324620025925
19191,IA,Winneshiek,74.04883558436104
51145,VA,Powhatan,74.04106020919558
37119,NC,Mecklenburg,74.00427510947132
6059,CA,Orange,73.92956439161024
27039,MN,Dodge,73.88848130138001
42017,PA,Bucks,73.81319022647521
38081,ND,Sargent,73.80414181856351
39041,OH,Delaware,73.80106452034309
17093,IL,Kendall,73.78371018604798
51199,VA,York,73.78006680376569
36061,NY,New York,73.67297554770853
51087,VA,Henrico,73.66563181460583
8069,CO,Larimer,73.6419451061251
42027,PA,Centre,73.53398853032688
19129,IA,Mills,73.49237236126385
8037,CO,Eagle,73.47368513872127
19103,IA,Johnson,73.45006513934489
18011,IN,Boone,73.42719568122007
19017,IA,Bremer,73.41834682538412
8039,CO,Elbert,73.41218153349237
42029,PA,Chester,73.36351944755977
23013,ME,Knox,73.32111616276124
8014,CO,Broomfield,73.25939092086963
19153,IA,Polk,73.25557628597828
16081,ID,Teton,73.14752590697728
48397,TX,Rockwall,73.14064064533733
48085,TX,Collin,73.09009536346974
19167,IA,Sioux,73.01873931931665
2110,AK,Juneau,73.0021978666556
33011,NH,Hillsborough,72.80186757591487
38015,ND,Burleigh,72.75499786128174
55063,WI,La Crosse,72.72248319831199
17063,IL,Grundy,72.70533947874007
6097,CA,Sonoma,72.68805810364357
45019,SC,Charleston,72.61996422856994
25025,MA,Suffolk,72.59297714870851
51810,VA,Virginia Beach,72.54364562425584
8005,CO,Arapahoe,72.52471455032112
42045,PA,Delaware,72.49980386336755
36079,NY,Putnam,72.49382894192152
17097,IL,Lake,72.46742466892485
23005,ME,Cumberland,72.42373965706692
38011,ND,Bowman,72.39417009722548
25001,MA,Barnstable,72.37880802992161
38023,ND,Divide,72.32571476189953
27003,MN,Anoka,72.29047103364387
55055,WI,Jefferson,72.28207524031062
38105,ND,Williams,72.27583839692636
34037,NJ,Sussex,72.25911279573087
44001,RI,Bristol,72.21722223777213
