State,County,Year,Violent Crime,Property Crime
Alabama,Autauga,2020,59,267
Alabama,Cherokee,2020,67,313
Alabama,Clarke,2020,42,53
Alabama,Marengo,2020,26,88
Arizona,Mohave,2020,153,1637
Arizona,Pima,2020,922,7020
Arizona,Pinal,2020,269,1438
Arizona,Yavapai,2020,193,837
Arizona,Yuma,2020,155,830
Arizona,Gila,2020,186,370
Arizona,Graham,2020,9,98
Arizona,Greenlee,2020,4,27
Arizona,Navajo,2020,46,261
Arizona,Santa Cruz,2020,3,104
Arkansas,Benton,2020,149,494
Arkansas,Cleveland,2020,40,111
Arkansas,Craighead,2020,55,305
Arkansas,Crawford,2020,46,214
Arkansas,Crittenden,2020,158,236
Arkansas,Faulkner,2020,155,791
Arkansas,Franklin,2020,63,144
Arkansas,Garland,2020,295,1299
Arkansas,Grant,2020,19,212
Arkansas,Jefferson,2020,121,359
Arkansas,Lincoln,2020,3,28
Arkansas,Little River,2020,24,67
Arkansas,Lonoke,2020,108,471
Arkansas,Madison,2020,63,111
Arkansas,Miller,2020,54,198
Arkansas,Perry,2020,39,93
Arkansas,Poinsett,2020,50,118
Arkansas,Pulaski,2020,641,1595
Arkansas,Saline,2020,185,649
Arkansas,Sebastian,2020,51,141
Arkansas,Washington,2020,190,571
Arkansas,Arkansas,2020,22,78
Arkansas,Ashley,2020,23,113
Arkansas,Baxter,2020,66,493
Arkansas,Boone,2020,195,205
Arkansas,Bradley,2020,14,49
Arkansas,Calhoun,2020,13,50
Arkansas,Carroll,2020,41,149
Arkansas,Chicot,2020,4,78
Arkansas,Clark,2020,12,56
Arkansas,Cleburne,2020,153,311
Arkansas,Columbia,2020,41,81
Arkansas,Conway,2020,56,217
Arkansas,Drew,2020,21,117
Arkansas,Fulton,2020,25,59
Arkansas,Hempstead,2020,41,138
Arkansas,Howard,2020,18,29
Arkansas,Independence,2020,196,421
Arkansas,Izard,2020,60,192
Arkansas,Jackson,2020,37,133
Arkansas,Johnson,2020,81,94
Arkansas,Lee,2020,11,110
Arkansas,Logan,2020,53,171
Arkansas,Mississippi,2020,37,319
Arkansas,Monroe,2020,7,22
Arkansas,Nevada,2020,12,23
Arkansas,Pike,2020,26,133
Arkansas,Polk,2020,61,59
Arkansas,Pope,2020,84,259
Arkansas,Prairie,2020,4,55
Arkansas,Randolph,2020,30,107
Arkansas,Scott,2020,25,49
Arkansas,Searcy,2020,16,15
Arkansas,Sevier,2020,20,61
Arkansas,St. Francis,2020,35,164
Arkansas,Union,2020,61,238
Arkansas,Van Buren,2020,43,151
Arkansas,White,2020,207,672
Arkansas,Yell,2020,52,148
California,Alameda,2020,700,2286
California,Butte,2020,341,1120
California,Contra Costa,2020,298,1178
California,El Dorado,2020,219,1735
California,Fresno,2020,1137,3035
California,Imperial,2020,200,711
California,Kern,2020,3369,8708
California,Kings,2020,103,377
California,Los Angeles,2020,5605,15554
California,Madera,2020,231,673
California,Marin,2020,90,812
California,Merced,2020,467,1357
California,Monterey,2020,221,1084
California,Napa,2020,57,336
California,Orange,2020,254,909
California,Placer,2020,220,952
California,Riverside,2020,964,6901
California,Sacramento,2020,2579,7753
California,San Benito,2020,33,158
California,San Bernardino,2020,1859,3251
California,San Diego,2020,1435,3894
California,San Joaquin,2020,822,2652
California,San Luis Obispo,2020,260,1065
California,San Mateo,2020,319,2896
California,Santa Barbara,2020,225,1616
California,Santa Clara,2020,323,1296
California,Santa Cruz,2020,315,1566
California,Shasta,2020,393,666
California,Solano,2020,115,419
California,Sonoma,2020,586,986
California,Stanislaus,2020,436,1171
California,Sutter,2020,69,530
California,Tulare,2020,344,1884
California,Ventura,2020,98,730
California,Yolo,2020,64,266
California,Yuba,2020,256,880
California,Alpine,2020,19,13
California,Amador,2020,90,312
California,Calaveras,2020,146,557
California,Colusa,2020,24,165
California,Del Norte,2020,121,313
California,Glenn,2020,128,288
California,Humboldt,2020,288,967
California,Inyo,2020,101,165
California,Lake,2020,193,465
California,Lassen,2020,70,106
California,Mariposa,2020,61,183
California,Mendocino,2020,187,664
California,Modoc,2020,23,31
California,Mono,2020,21,58
California,Nevada,2020,116,342
California,Plumas,2020,159,282
California,Sierra,2020,4,17
California,Siskiyou,2020,98,154
California,Tehama,2020,161,384
California,Trinity,2020,82,147
California,Tuolumne,2020,205,603
Colorado,Adams,2020,620,3151
Colorado,Arapahoe,2020,221,2352
Colorado,Boulder,2020,80,760
Colorado,Clear Creek,2020,9,50
Colorado,Douglas,2020,326,2426
Colorado,Elbert,2020,12,11
Colorado,El Paso,2020,545,2334
Colorado,Gilpin,2020,11,84
Colorado,Mesa,2020,193,1370
Colorado,Park,2020,38,45
Colorado,Pueblo,2020,35,
Colorado,Teller,2020,31,80
Colorado,Weld,2020,204,809
Colorado,Bent,2020,17,112
Colorado,Chaffee,2020,5,97
Colorado,Cheyenne,2020,1,5
Colorado,Conejos,2020,6,38
Colorado,Crowley,2020,5,60
Colorado,Custer,2020,12,79
Colorado,Delta,2020,12,222
Colorado,Dolores,2020,4,11
Colorado,Eagle,2020,30,110
Colorado,Fremont,2020,39,174
Colorado,Garfield,2020,58,244
Colorado,Gunnison,2020,3,25
Colorado,Hinsdale,2020,0,4
Colorado,Huerfano,2020,22,158
Colorado,Jackson,2020,6,24
Colorado,Kiowa,2020,0,4
Colorado,La Plata,2020,32,285
Colorado,Las Animas,2020,5,72
Colorado,Logan,2020,21,101
Colorado,Mineral,2020,0,0
Colorado,Moffat,2020,8,39
Colorado,Montezuma,2020,24,149
Colorado,Montrose,2020,36,196
Colorado,Morgan,2020,27,126
Colorado,Otero,2020,17,52
Colorado,Ouray,2020,6,26
Colorado,Phillips,2020,1,8
Colorado,Pitkin,2020,3,26
Colorado,Prowers,2020,9,14
Colorado,Rio Blanco,2020,4,14
Colorado,Rio Grande,2020,4,57
Colorado,Routt,2020,8,64
Colorado,San Juan,2020,0,4
Colorado,San Miguel,2020,8,3
Colorado,Sedgwick,2020,1,1
Colorado,Summit,2020,39,225
Colorado,Washington,2020,7,57
Colorado,Yuma,2020,3,62
Delaware,New Castle County Police Department,2020,934,4466
Florida,Alachua,2020,911,1838
Florida,Baker,2020,131,274
Florida,Bay,2020,319,1873
Florida,Brevard,2020,518,2925
Florida,Broward,2020,333,507
Florida,Charlotte,2020,278,1376
Florida,Citrus,2020,403,1926
Florida,Clay,2020,491,2420
Florida,Collier,2020,837,3416
Florida,Escambia,2020,1604,6782
Florida,Flagler,2020,216,758
Florida,Gadsden,2020,75,227
Florida,Gilchrist,2020,24,84
Florida,Hernando,2020,440,2058
Florida,Highlands,2020,207,1432
Florida,Hillsborough,2020,1878,8728
Florida,Indian River,2020,156,1404
Florida,Jefferson,2020,93,136
Florida,Lake,2020,472,1933
Florida,Lee,2020,1367,4195
Florida,Leon,2020,271,1283
Florida,Levy,2020,454,429
Florida,Manatee,2020,1474,4342
Florida,Marion,2020,1094,3781
Florida,Martin,2020,305,1409
Florida,Miami-Dade,2020,6096,26907
Florida,Nassau,2020,152,900
Florida,Okaloosa,2020,471,1902
Florida,Orange,2020,4564,15877
Florida,Osceola,2020,732,3974
Florida,Palm Beach,2020,1438,8539
Florida,Pasco,2020,1457,5516
Florida,Pinellas,2020,512,3082
Florida,Polk,2020,1327,4500
