State,County,Year,Population,Violent Crime,Property Crime,Violent Crime Rate,Property Crime Rate
Alabama,Autauga,2020,58914.0,59.0,267.0,100.15,453.2
Alabama,Cherokee,2020,24978.0,67.0,313.0,268.24,1253.1
Alabama,Clarke,2020,22982.0,42.0,53.0,182.75,230.62
Alabama,Marengo,2020,19266.0,26.0,88.0,134.95,456.76
Arizona,Mohave,2020,214167.0,153.0,1637.0,71.44,764.36
Arizona,Pima,2020,1045245.0,922.0,7020.0,88.21,671.61
Arizona,Pinal,2020,430231.0,269.0,1438.0,62.52,334.24
Arizona,Yavapai,2020,237223.0,193.0,837.0,81.36,352.83
Arizona,Yuma,2020,205618.0,155.0,830.0,75.38,403.66
Arizona,Gila,2020,53338.0,186.0,370.0,348.72,693.69
Arizona,Graham,2020,38626.0,9.0,98.0,23.3,253.72
Arizona,Greenlee,2020,9531.0,4.0,27.0,41.97,283.29
Arizona,Navajo,2020,106748.0,46.0,261.0,43.09,244.5
Arizona,Santa Cruz,2020,47711.0,3.0,104.0,6.29,217.98
Arkansas,Benton,2020,286597.0,149.0,494.0,51.99,172.37
Arkansas,Cleveland,2020,7551.0,40.0,111.0,529.73,1470.0
Arkansas,Craighead,2020,111624.0,55.0,305.0,49.27,273.24
Arkansas,Crawford,2020,60164.0,46.0,214.0,76.46,355.69
Arkansas,Crittenden,2020,48076.0,158.0,236.0,328.65,490.89
Arkansas,Faulkner,2020,123830.0,155.0,791.0,125.17,638.78
Arkansas,Franklin,2020,17131.0,63.0,144.0,367.75,840.58
Arkansas,Garland,2020,100259.0,295.0,1299.0,294.24,1295.64
Arkansas,Grant,2020,18016.0,19.0,212.0,105.46,1176.73
Arkansas,Jefferson,2020,66825.0,121.0,359.0,181.07,537.22
Arkansas,Lincoln,2020,12893.0,3.0,28.0,23.27,217.17
Arkansas,Little River,2020,11978.0,24.0,67.0,200.37,559.36
Arkansas,Lonoke,2020,74065.0,108.0,471.0,145.82,635.93
Arkansas,Madison,2020,16555.0,63.0,111.0,380.55,670.49
Arkansas,Miller,2020,42586.0,54.0,198.0,126.8,464.94
