State,County,Year,Population,Violent Crime,Property Crime,Violent Crime Rate,Property Crime Rate
Arkansas,Perry,2020,9996.0,39.0,93.0,390.16,930.37
Arkansas,Poinsett,2020,22953.0,50.0,118.0,217.84,514.09
Arkansas,Pulaski,2020,399252.0,641.0,1595.0,160.55,399.5
Arkansas,Saline,2020,123830.0,185.0,649.0,149.4,524.11
Arkansas,Sebastian,2020,127807.0,51.0,141.0,39.9,110.32
Arkansas,Washington,2020,246756.0,190.0,571.0,77.0,231.4
Arkansas,Arkansas,2020,17106.0,22.0,78.0,128.61,455.98
Arkansas,Ashley,2020,18959.0,23.0,113.0,121.31,596.02
Arkansas,Baxter,2020,41692.0,66.0,493.0,158.3,1182.48
Arkansas,Boone,2020,37386.0,195.0,205.0,521.59,548.33
Arkansas,Bradley,2020,10501.0,14.0,49.0,133.32,466.62
Arkansas,Calhoun,2020,4738.0,13.0,50.0,274.38,1055.3
Arkansas,Carroll,2020,28245.0,41.0,149.0,145.16,527.53
Arkansas,Chicot,2020,10154.0,4.0,78.0,39.39,768.17
Arkansas,Clark,2020,21404.0,12.0,56.0,56.06,261.63
Arkansas,Cleburne,2020,24712.0,153.0,311.0,619.13,1258.5
Arkansas,Columbia,2020,22747.0,41.0,81.0,180.24,356.09
Arkansas,Conway,2020,20733.0,56.0,217.0,270.1,1046.64
Arkansas,Drew,2020,17321.0,21.0,117.0,121.24,675.48
Arkansas,Fulton,2020,12052.0,25.0,59.0,207.43,489.55
Arkansas,Hempstead,2020,19993.0,41.0,138.0,205.07,690.24
Arkansas,Howard,2020,12760.0,18.0,29.0,141.07,227.27
Arkansas,Independence,2020,37941.0,196.0,421.0,516.59,1109.62
Arkansas,Izard,2020,13604.0,60.0,192.0,441.05,1411.35
Arkansas,Jackson,2020,16742.0,37.0,133.0,221.0,794.41
Arkansas,Johnson,2020,25721.0,81.0,94.0,314.92,365.46
Arkansas,Lee,2020,8582.0,11.0,110.0,128.18,1281.75
Arkansas,Logan,2020,21108.0,53.0,171.0,251.09,810.12
Arkansas,Mississippi,2020,40535.0,37.0,319.0,91.28,786.97
Arkansas,Monroe,2020,6769.0,7.0,22.0,103.41,325.01
Arkansas,Nevada,2020,8284.0,12.0,23.0,144.86,277.64
Arkansas,Pike,2020,10158.0,26.0,133.0,255.96,1309.31
Arkansas,Polk,2020,19186.0,61.0,59.0,317.94,307.52
Arkansas,Pope,2020,63414.0,84.0,259.0,132.46,408.43
Arkansas,Prairie,2020,8247.0,4.0,55.0,48.5,666.91
Arkansas,Randolph,2020,18593.0,30.0,107.0,161.35,575.49
Arkansas,Scott,2020,9828.0,25.0,49.0,254.38,498.58
Arkansas,Searcy,2020,7845.0,16.0,15.0,203.95,191.2
Arkansas,Sevier,2020,15778.0,20.0,61.0,126.76,386.61
Arkansas,St. Francis,2020,23019.0,35.0,164.0,152.05,712.45
Arkansas,Union,2020,38942.0,61.0,238.0,156.64,611.17
Arkansas,Van Buren,2020,15803.0,43.0,151.0,272.1,955.51
Arkansas,White,2020,76854.0,207.0,672.0,269.34,874.39
Arkansas,Yell,2020,20218.0,52.0,148.0,257.2,732.02
California,Alameda,2020,1680489.0,700.0,2286.0,41.65,136.03
California,Butte,2020,210204.0,341.0,1120.0,162.22,532.82
California,Contra Costa,2020,1166249.0,298.0,1178.0,25.55,101.01
California,El Dorado,2020,191237.0,219.0,1735.0,114.52,907.25
California,Fresno,2020,1009563.0,1137.0,3035.0,112.62,300.63
California,Imperial,2020,179532.0,200.0,711.0,111.4,396.03
California,Kern,2020,905960.0,3369.0,8708.0,371.87,961.19
California,Kings,2020,152813.0,103.0,377.0,67.4,246.71
California,Los Angeles,2020,9996510.0,5605.0,15554.0,56.07,155.59
California,Madera,2020,156396.0,231.0,673.0,147.7,430.32
California,Marin,2020,261337.0,90.0,812.0,34.44,310.71
California,Merced,2020,282895.0,467.0,1357.0,165.08,479.68
California,Monterey,2020,440493.0,221.0,1084.0,50.17,246.09
California,Napa,2020,137481.0,57.0,336.0,41.46,244.4
California,Orange,2020,3186167.0,254.0,909.0,7.97,28.53
California,Placer,2020,405971.0,220.0,952.0,54.19,234.5
California,Riverside,2020,2424446.0,964.0,6901.0,39.76,284.64
California,Sacramento,2020,1586769.0,2579.0,7753.0,162.53,488.6
California,San Benito,2020,64525.0,33.0,158.0,51.14,244.87
California,San Bernardino,2020,2183200.0,1859.0,3251.0,85.15,148.91
California,San Diego,2020,3301110.0,1435.0,3894.0,43.47,117.96
California,San Joaquin,2020,780618.0,822.0,2652.0,105.3,339.73
California,San Luis Obispo,2020,282257.0,260.0,1065.0,92.11,377.32
California,San Mateo,2020,762639.0,319.0,2896.0,41.83,379.73
California,Santa Barbara,2020,448325.0,225.0,1616.0,50.19,360.45
California,Santa Clara,2020,1931349.0,323.0,1296.0,16.72,67.1
California,Santa Cruz,2020,271758.0,315.0,1566.0,115.91,576.25
California,Shasta,2020,182191.0,393.0,666.0,215.71,365.55
California,Solano,2020,452895.0,115.0,419.0,25.39,92.52
California,Sonoma,2020,488514.0,586.0,986.0,119.96,201.84
California,Stanislaus,2020,553702.0,436.0,1171.0,78.74,211.49
California,Sutter,2020,99463.0,69.0,530.0,69.37,532.86
California,Tulare,2020,473915.0,344.0,1884.0,72.59,397.54
California,Ventura,2020,843793.0,98.0,730.0,11.61,86.51
California,Yolo,2020,217760.0,64.0,266.0,29.39,122.15
California,Yuba,2020,81996.0,256.0,880.0,312.21,1073.22
California,Alpine,2020,1180.0,19.0,13.0,1610.17,1101.69
California,Amador,2020,40567.0,90.0,312.0,221.86,769.1
California,Calaveras,2020,45349.0,146.0,557.0,321.95,1228.25
California,Colusa,2020,21858.0,24.0,165.0,109.8,754.87
California,Del Norte,2020,27619.0,121.0,313.0,438.1,1133.28
California,Glenn,2020,28889.0,128.0,288.0,443.08,996.92
California,Humboldt,2020,136298.0,288.0,967.0,211.3,709.47
California,Inyo,2020,18989.0,101.0,165.0,531.89,868.92
California,Lake,2020,68208.0,193.0,465.0,282.96,681.74
California,Lassen,2020,32349.0,70.0,106.0,216.39,327.68
California,Mariposa,2020,17130.0,61.0,183.0,356.1,1068.3
California,Mendocino,2020,91348.0,187.0,664.0,204.71,726.89
California,Modoc,2020,8679.0,23.0,31.0,265.01,357.18
California,Mono,2020,13222.0,21.0,58.0,158.83,438.66
California,Nevada,2020,102280.0,116.0,342.0,113.41,334.38
California,Plumas,2020,19745.0,159.0,282.0,805.27,1428.21
California,Sierra,2020,3226.0,4.0,17.0,123.99,526.97
California,Siskiyou,2020,43983.0,98.0,154.0,222.81,350.14
California,Tehama,2020,65760.0,161.0,384.0,244.83,583.94
California,Trinity,2020,16099.0,82.0,147.0,509.35,913.1
California,Tuolumne,2020,55369.0,205.0,603.0,370.24,1089.06
Colorado,Adams,2020,520411.0,620.0,3151.0,119.14,605.48
Colorado,Arapahoe,2020,655269.0,221.0,2352.0,33.73,358.94
Colorado,Boulder,2020,330982.0,80.0,760.0,24.17,229.62
Colorado,Clear Creek,2020,9358.0,9.0,50.0,96.17,534.3
Colorado,Douglas,2020,360315.0,326.0,2426.0,90.48,673.3
Colorado,Elbert,2020,26211.0,12.0,11.0,45.78,41.97
Colorado,El Paso,2020,733721.0,545.0,2334.0,74.28,318.1
Colorado,Gilpin,2020,5817.0,11.0,84.0,189.1,1444.04
Colorado,Mesa,2020,156007.0,193.0,1370.0,123.71,878.17
Colorado,Park,2020,17425.0,38.0,45.0,218.08,258.25
Colorado,Pueblo,2020,168334.0,35.0,,20.79,
Colorado,Teller,2020,24746.0,31.0,80.0,125.27,323.28
Colorado,Weld,2020,331434.0,204.0,809.0,61.55,244.09
Colorado,Bent,2020,5472.0,17.0,112.0,310.67,2046.78
Colorado,Chaffee,2020,19486.0,5.0,97.0,25.66,497.79
Colorado,Cheyenne,2020,1746.0,1.0,5.0,57.27,286.37
Colorado,Conejos,2020,7457.0,6.0,38.0,80.46,509.59
Colorado,Crowley,2020,5707.0,5.0,60.0,87.61,1051.34
Colorado,Custer,2020,4724.0,12.0,79.0,254.02,1672.31
Colorado,Delta,2020,31062.0,12.0,222.0,38.63,714.7
Colorado,Dolores,2020,2331.0,4.0,11.0,171.6,471.9
Colorado,Eagle,2020,55657.0,30.0,110.0,53.9,197.64
Colorado,Fremont,2020,48880.0,39.0,174.0,79.79,355.97
Colorado,Garfield,2020,61793.0,58.0,244.0,93.86,394.87
Colorado,Gunnison,2020,16950.0,3.0,25.0,17.7,147.49
Colorado,Hinsdale,2020,789.0,0.0,4.0,0.0,506.97
Colorado,Huerfano,2020,6824.0,22.0,158.0,322.39,2315.36
Colorado,Jackson,2020,1379.0,6.0,24.0,435.1,1740.39
Colorado,Kiowa,2020,1453.0,0.0,4.0,0.0,275.29
Colorado,La Plata,2020,55679.0,32.0,285.0,57.47,511.86
Colorado,Las Animas,2020,14491.0,5.0,72.0,34.5,496.86
Colorado,Logan,2020,21221.0,21.0,101.0,98.96,475.94
Colorado,Mineral,2020,870.0,0.0,0.0,0.0,0.0
Colorado,Moffat,2020,13267.0,8.0,39.0,60.3,293.96
Colorado,Montezuma,2020,25890.0,24.0,149.0,92.7,575.51
Colorado,Montrose,2020,42825.0,36.0,196.0,84.06,457.68
Colorado,Morgan,2020,29080.0,27.0,126.0,92.85,433.29
Colorado,Otero,2020,18659.0,17.0,52.0,91.11,278.69
Colorado,Ouray,2020,4879.0,6.0,26.0,122.98,532.9
Colorado,Phillips,2020,4528.0,1.0,8.0,22.08,176.68
Colorado,Pitkin,2020,17363.0,3.0,26.0,17.28,149.74
Colorado,Prowers,2020,12012.0,9.0,14.0,74.93,116.55
Colorado,Rio Blanco,2020,6522.0,4.0,14.0,61.33,214.66
Colorado,Rio Grande,2020,11538.0,4.0,57.0,34.67,494.02
Colorado,Routt,2020,24837.0,8.0,64.0,32.21,257.68
Colorado,San Juan,2020,710.0,0.0,4.0,0.0,563.38
Colorado,San Miguel,2020,8053.0,8.0,3.0,99.34,37.25
Colorado,Sedgwick,2020,2391.0,1.0,1.0,41.82,41.82
Colorado,Summit,2020,31237.0,39.0,225.0,124.85,720.3
Colorado,Washington,2020,4810.0,7.0,57.0,145.53,1185.03
Colorado,Yuma,2020,9975.0,3.0,62.0,30.08,621.55
Delaware,New Castle County Police Department,2020,570941.0,934.0,4466.0,163.59,782.22
Florida,Alachua,2020,279767.0,911.0,1838.0,325.63,656.98
Florida,Baker,2020,28114.0,131.0,274.0,465.96,974.6
Florida,Bay,2020,174551.0,319.0,1873.0,182.75,1073.04
Florida,Brevard,2020,608765.0,518.0,2925.0,85.09,480.48
Florida,Broward,2020,1943437.0,333.0,507.0,17.13,26.09
Florida,Charlotte,2020,188023.0,278.0,1376.0,147.85,731.83
Florida,Citrus,2020,154563.0,403.0,1926.0,260.74,1246.09
Florida,Clay,2020,218949.0,491.0,2420.0,224.25,1105.28
Florida,Collier,2020,377327.0,837.0,3416.0,221.82,905.32
Florida,Escambia,2020,322547.0,1604.0,6782.0,497.29,2102.64
Florida,Flagler,2020,116031.0,216.0,758.0,186.16,653.27
Florida,Gadsden,2020,43427.0,75.0,227.0,172.7,522.72
Florida,Gilchrist,2020,17890.0,24.0,84.0,134.15,469.54
Florida,Hernando,2020,195610.0,440.0,2058.0,224.94,1052.09
Florida,Highlands,2020,101341.0,207.0,1432.0,204.26,1413.05
Florida,Hillsborough,2020,1466246.0,1878.0,8728.0,128.08,595.26
Florida,Indian River,2020,160454.0,156.0,1404.0,97.22,875.02
Florida,Jefferson,2020,14403.0,93.0,136.0,645.7,944.25
Florida,Lake,2020,386221.0,472.0,1933.0,122.21,500.49
Florida,Lee,2020,765575.0,1367.0,4195.0,178.56,547.95
Florida,Leon,2020,293925.0,271.0,1283.0,92.2,436.51
Florida,Levy,2020,43065.0,454.0,429.0,1054.22,996.17
Florida,Manatee,2020,401622.0,1474.0,4342.0,367.01,1081.12
Florida,Marion,2020,377432.0,1094.0,3781.0,289.85,1001.77
Florida,Martin,2020,158656.0,305.0,1409.0,192.24,888.08
Florida,Miami-Dade,2020,2695519.0,6096.0,26907.0,226.15,998.21
Florida,Nassau,2020,91040.0,152.0,900.0,166.96,988.58
Florida,Okaloosa,2020,212082.0,471.0,1902.0,222.08,896.82
Florida,Orange,2020,1431608.0,4564.0,15877.0,318.8,1109.03
Florida,Osceola,2020,391130.0,732.0,3974.0,187.15,1016.03
Florida,Palm Beach,2020,1494203.0,1438.0,8539.0,96.24,571.48
Florida,Pasco,2020,566170.0,1457.0,5516.0,257.34,974.27
Florida,Pinellas,2020,959805.0,512.0,3082.0,53.34,321.11
Florida,Polk,2020,730148.0,1327.0,4500.0,181.74,616.31
Florida,Santa Rosa,2020,189024.0,221.0,1276.0,116.92,675.05
Florida,Sarasota,2020,436262.0,489.0,3844.0,112.09,881.12
Florida,Seminole,2020,471471.0,438.0,1852.0,92.9,392.81
Florida,St. Johns,2020,277119.0,293.0,1654.0,105.73,596.86
Florida,St. Lucie,2020,331453.0,297.0,1072.0,89.61,323.42
Florida,Sumter,2020,130293.0,210.0,783.0,161.18,600.95
Florida,Volusia,2020,555791.0,645.0,1798.0,116.05,323.5
Florida,Wakulla,2020,33917.0,82.0,421.0,241.77,1241.27
Florida,Walton,2020,75899.0,87.0,680.0,114.63,895.93
Florida,Bradford,2020,28235.0,34.0,76.0,120.42,269.17
Florida,Calhoun,2020,13703.0,33.0,78.0,240.82,569.22
Florida,Columbia,2020,69758.0,170.0,802.0,243.7,1149.69
Florida,DeSoto,2020,34093.0,137.0,453.0,401.84,1328.72
Florida,Dixie,2020,16697.0,80.0,139.0,479.13,832.48
Florida,Franklin,2020,12473.0,32.0,211.0,256.55,1691.65
Florida,Glades,2020,12079.0,33.0,93.0,273.2,769.93
Florida,Gulf,2020,14270.0,60.0,159.0,420.46,1114.23
Florida,Hamilton,2020,13733.0,46.0,195.0,334.96,1419.94
Florida,Hardee,2020,25335.0,74.0,283.0,292.09,1117.03
Florida,Hendry,2020,39726.0,117.0,550.0,294.52,1384.48
Florida,Holmes,2020,19591.0,57.0,156.0,290.95,796.28
Florida,Lafayette,2020,8236.0,26.0,21.0,315.69,254.98
Florida,Liberty,2020,7818.0,6.0,54.0,76.75,690.71
Florida,Madison,2020,17863.0,127.0,162.0,710.97,906.9
Florida,Monroe,2020,82851.0,190.0,520.0,229.33,627.63
Florida,Okeechobee,2020,39662.0,194.0,832.0,489.13,2097.73
Florida,Putnam,2020,73383.0,89.0,745.0,121.28,1015.22
Florida,Suwannee,2020,43518.0,157.0,444.0,360.77,1020.27
Florida,Taylor,2020,21756.0,65.0,208.0,298.77,956.06
Florida,Union,2020,15442.0,37.0,97.0,239.61,628.16
Florida,Washington,2020,25324.0,27.0,110.0,106.62,434.37
Georgia,Barrow,2020,84066.0,98.0,968.0,116.58,1151.48
Georgia,Bartow,2020,109283.0,101.0,1373.0,92.42,1256.37
Georgia,Bibb,2020,157054.0,1438.0,5199.0,915.61,3310.33
Georgia,Brantley,2020,18046.0,36.0,349.0,199.49,1933.95
Georgia,Brooks,2020,16271.0,43.0,164.0,264.27,1007.93
Georgia,Bryan,2020,45048.0,60.0,191.0,133.19,423.99
Georgia,Burke,2020,24632.0,36.0,221.0,146.15,897.21
Georgia,Butts,2020,25549.0,34.0,185.0,133.08,724.1
Georgia,Carroll,2020,119394.0,172.0,1094.0,144.06,916.29
Georgia,Catoosa,2020,68034.0,98.0,549.0,144.05,806.95
Georgia,Cherokee,2020,268142.0,144.0,728.0,53.7,271.5
Georgia,Clayton County Police Department,2020,299345.0,1504.0,5565.0,502.43,1859.06
Georgia,Cobb,2020,766385.0,26.0,302.0,3.39,39.41
Georgia,Cobb County Police Department,2020,766385.0,1353.0,7980.0,176.54,1041.25
Georgia,Coweta,2020,146746.0,647.0,841.0,440.9,573.1
Georgia,Crawford,2020,12093.0,23.0,148.0,190.19,1223.85
Georgia,Dougherty,2020,85173.0,1.0,10.0,1.17,11.74
Georgia,Dougherty County Police Department,2020,85173.0,56.0,259.0,65.75,304.09
Georgia,Douglas,2020,144698.0,244.0,1045.0,168.63,722.19
Georgia,Echols,2020,3716.0,3.0,13.0,80.73,349.84
Georgia,Effingham,2020,65180.0,37.0,277.0,56.77,424.98
Georgia,Fayette,2020,119507.0,38.0,323.0,31.8,270.28
Georgia,Floyd,2020,98597.0,14.0,1.0,14.2,1.01
Georgia,Floyd County Police Department,2020,98597.0,183.0,556.0,185.6,563.91
Georgia,Forsyth,2020,252877.0,132.0,1103.0,52.2,436.18
Georgia,Hall,2020,203382.0,274.0,1308.0,134.72,643.12
Georgia,Haralson,2020,30050.0,86.0,340.0,286.19,1131.45
Georgia,Harris,2020,34907.0,5.0,94.0,14.32,269.29
Georgia,Heard,2020,11445.0,21.0,118.0,183.49,1031.02
Georgia,Jasper,2020,14671.0,38.0,162.0,259.01,1104.22
Georgia,Jones,2020,28368.0,45.0,296.0,158.63,1043.43
Georgia,Lanier,2020,9917.0,13.0,106.0,131.09,1068.87
Georgia,Lee,2020,33211.0,66.0,385.0,198.73,1159.25
Georgia,Liberty,2020,65330.0,17.0,165.0,26.02,252.56
Georgia,Long,2020,16256.0,15.0,85.0,92.27,522.88
Georgia,Lowndes,2020,118436.0,141.0,970.0,119.05,819.01
Georgia,Madison,2020,30266.0,74.0,312.0,244.5,1030.86
Georgia,Marion,2020,7529.0,6.0,31.0,79.69,411.74
Georgia,McDuffie,2020,21609.0,40.0,149.0,185.11,689.53
Georgia,Meriwether,2020,20610.0,45.0,158.0,218.34,766.62
Georgia,Murray,2020,39996.0,97.0,422.0,242.52,1055.11
Georgia,Muscogee,2020,207016.0,4.0,3.0,1.93,1.45
Georgia,Newton,2020,112902.0,279.0,1214.0,247.12,1075.27
Georgia,Oglethorpe,2020,14869.0,39.0,125.0,262.29,840.68
Georgia,Paulding,2020,169516.0,375.0,1279.0,221.22,754.5
Georgia,Peach,2020,28059.0,38.0,177.0,135.43,630.81
Georgia,Pickens,2020,33351.0,61.0,227.0,182.9,680.64
Georgia,Pike,2020,18948.0,31.0,170.0,163.61,897.19
Georgia,Spalding,2020,67456.0,142.0,596.0,210.51,883.54
Georgia,Twiggs,2020,8009.0,15.0,107.0,187.29,1336.0
Georgia,Walton,2020,97115.0,40.0,279.0,41.19,287.29
Georgia,Whitfield,2020,102790.0,284.0,1051.0,276.29,1022.47
Georgia,Worth,2020,20719.0,52.0,170.0,250.98,820.5
Georgia,Atkinson,2020,8307.0,23.0,76.0,276.87,914.89
Georgia,Baldwin,2020,43786.0,119.0,527.0,271.78,1203.58
Georgia,Banks,2020,18129.0,37.0,320.0,204.09,1765.13
Georgia,Ben Hill,2020,17166.0,44.0,166.0,256.32,967.03
Georgia,Berrien,2020,18143.0,28.0,151.0,154.33,832.28
Georgia,Bleckley,2020,12515.0,21.0,94.0,167.8,751.1
Georgia,Charlton,2020,12527.0,17.0,55.0,135.71,439.05
Georgia,Chattooga,2020,24927.0,23.0,255.0,92.27,1022.99
Georgia,Clay,2020,2830.0,8.0,31.0,282.69,1095.41
Georgia,Cook,2020,17238.0,17.0,148.0,98.62,858.57
Georgia,Crisp,2020,20058.0,14.0,265.0,69.8,1321.17
Georgia,Decatur,2020,29436.0,32.0,263.0,108.71,893.46
Georgia,Dodge,2020,19949.0,22.0,192.0,110.28,962.45
Georgia,Early,2020,10793.0,15.0,77.0,138.98,713.43
Georgia,Elbert,2020,19666.0,21.0,157.0,106.78,798.33
Georgia,Franklin,2020,23476.0,24.0,207.0,102.23,881.75
Georgia,Gilmer,2020,31420.0,91.0,210.0,289.62,668.36
Georgia,Gordon,2020,57730.0,61.0,437.0,105.66,756.97
Georgia,Grady,2020,26213.0,35.0,300.0,133.52,1144.47
Georgia,Greene,2020,19030.0,35.0,131.0,183.92,688.39
Georgia,Habersham,2020,46112.0,16.0,259.0,34.7,561.68
Georgia,Hancock,2020,8711.0,16.0,48.0,183.68,551.03
Georgia,Irwin,2020,9646.0,8.0,76.0,82.94,787.89
Georgia,Jackson,2020,76765.0,81.0,643.0,105.52,837.62
Georgia,Jeff Davis,2020,14800.0,23.0,63.0,155.41,425.68
Georgia,Jenkins,2020,8660.0,7.0,37.0,80.83,427.25
Georgia,Laurens,2020,49543.0,74.0,418.0,149.37,843.71
Georgia,Lumpkin,2020,33640.0,55.0,235.0,163.5,698.57
Georgia,Mitchell,2020,21676.0,21.0,251.0,96.88,1157.96
Georgia,Pierce,2020,19749.0,48.0,277.0,243.05,1402.6
Georgia,Polk,2020,42929.0,5.0,1.0,11.65,2.33
Georgia,Polk County Police Department,2020,42929.0,44.0,459.0,102.49,1069.21
Georgia,Pulaski,2020,9872.0,35.0,192.0,354.54,1944.89
Georgia,Rabun,2020,16926.0,9.0,170.0,53.17,1004.37
Georgia,Seminole,2020,9129.0,13.0,75.0,142.4,821.56
Georgia,Sumter,2020,29518.0,19.0,104.0,64.37,352.33
Georgia,Tattnall,2020,24328.0,26.0,201.0,106.87,826.21
Georgia,Thomas,2020,45784.0,63.0,409.0,137.6,893.33
Georgia,Tift,2020,41382.0,178.0,592.0,430.14,1430.57
Georgia,Towns,2020,12552.0,14.0,60.0,111.54,478.01
Georgia,Treutlen,2020,6398.0,2.0,47.0,31.26,734.6
Georgia,Turner,2020,8989.0,10.0,60.0,111.25,667.48
Georgia,Union,2020,24808.0,12.0,217.0,48.37,874.72
Georgia,Ware,2020,36237.0,42.0,137.0,115.9,378.07
Georgia,Webster,2020,2352.0,0.0,0.0,0.0,0.0
Georgia,White,2020,28108.0,24.0,91.0,85.38,323.75
Georgia,Wilcox,2020,8787.0,9.0,57.0,102.42,648.69
Georgia,Wilkes,2020,9554.0,94.0,199.0,983.88,2082.9
Georgia,Wilkinson,2020,8832.0,10.0,31.0,113.22,351.0
Hawaii,Hawaii Police Department,2020,200744.0,613.0,4030.0,305.36,2007.53
Hawaii,Kauai Police Department,2020,73210.0,194.0,1083.0,264.99,1479.31
Idaho,Ada,2020,498263.0,243.0,685.0,48.77,137.48
Idaho,Boise,2020,7662.0,29.0,48.0,378.49,626.47
Idaho,Bonneville,2020,124730.0,130.0,654.0,104.23,524.33
Idaho,Butte,2020,2581.0,4.0,5.0,154.98,193.72
Idaho,Canyon,2020,233001.0,152.0,397.0,65.24,170.39
Idaho,Gem,2020,19275.0,14.0,44.0,72.63,228.27
Idaho,Jefferson,2020,31080.0,13.0,143.0,41.83,460.1
Idaho,Jerome,2020,24269.0,34.0,77.0,140.1,317.28
Idaho,Kootenai,2020,172797.0,101.0,750.0,58.45,434.04
Idaho,Nez Perce,2020,42148.0,12.0,49.0,28.47,116.26
Idaho,Owyhee,2020,11993.0,17.0,49.0,141.75,408.57
Idaho,Power,2020,7880.0,16.0,55.0,203.05,697.97
Idaho,Twin Falls,2020,90365.0,51.0,,56.44,
Idaho,Adams,2020,4423.0,9.0,48.0,203.48,1085.24
Idaho,Bear Lake,2020,6365.0,0.0,0.0,0.0,0.0
Idaho,Benewah,2020,9580.0,30.0,53.0,313.15,553.24
Idaho,Bingham,2020,48097.0,29.0,161.0,60.29,334.74
Idaho,Blaine,2020,24341.0,12.0,9.0,49.3,36.97
Idaho,Bonner,2020,47411.0,46.0,252.0,97.02,531.52
Idaho,Boundary,2020,12141.0,12.0,38.0,98.84,312.99
Idaho,Camas,2020,1081.0,2.0,2.0,185.01,185.01
Idaho,Caribou,2020,7013.0,6.0,16.0,85.56,228.15
Idaho,Cassia,2020,24753.0,36.0,228.0,145.44,921.1
Idaho,Clearwater,2020,8758.0,11.0,6.0,125.6,68.51
Idaho,Custer,2020,4269.0,7.0,20.0,163.97,468.49
Idaho,Elmore,2020,28670.0,32.0,13.0,111.61,45.34
Idaho,Fremont,2020,13420.0,18.0,39.0,134.13,290.61
Idaho,Gooding,2020,15647.0,19.0,45.0,121.43,287.6
Idaho,Latah,2020,39633.0,17.0,101.0,42.89,254.84
Idaho,Lemhi,2020,7955.0,7.0,3.0,87.99,37.71
Idaho,Lewis,2020,3534.0,2.0,40.0,56.59,1131.86
Idaho,Lincoln,2020,5137.0,5.0,21.0,97.33,408.8
Idaho,Madison,2020,52950.0,11.0,11.0,20.77,20.77
Idaho,Minidoka,2020,21669.0,9.0,106.0,41.53,489.18
Idaho,Oneida,2020,4564.0,2.0,37.0,43.82,810.69
Idaho,Payette,2020,25577.0,27.0,60.0,105.56,234.59
Idaho,Shoshone,2020,13198.0,29.0,99.0,219.73,750.11
Idaho,Teton,2020,11740.0,13.0,23.0,110.73,195.91
Idaho,Valley,2020,11841.0,19.0,59.0,160.46,498.27
Idaho,Washington,2020,10556.0,10.0,15.0,94.73,142.1
Illinois,Alexander,2020,5172.0,6.0,,116.01,
Illinois,Champaign,2020,206222.0,22.0,,10.67,
Illinois,Clinton,2020,36915.0,6.0,,16.25,
Illinois,Cook,2020,5263651.0,222.0,,4.22,
Illinois,DeKalb,2020,100366.0,24.0,,23.91,
Illinois,Fulton,2020,33562.0,13.0,,38.73,
Illinois,Grundy,2020,52538.0,12.0,,22.84,
Illinois,Henry,2020,49174.0,11.0,,22.37,
Illinois,Jackson,2020,53289.0,34.0,,63.8,
Illinois,Jersey,2020,21493.0,24.0,,111.66,
Illinois,Johnson,2020,13317.0,13.0,,97.62,
Illinois,Kane,2020,516364.0,92.0,,17.82,
Illinois,Kankakee,2020,107402.0,40.0,,37.24,
Illinois,Kendall,2020,132364.0,18.0,,13.6,
Illinois,Lake,2020,713377.0,92.0,,12.9,
Illinois,Macon,2020,103761.0,30.0,,28.91,
Illinois,Macoupin,2020,44929.0,10.0,,22.26,
Illinois,Madison,2020,265746.0,162.0,,60.96,
Illinois,Marshall,2020,11713.0,4.0,,34.15,
