,Unnamed: 0,state,county,state_code,FIPS,DSLPM,PM25,RSEI_AIR,PTRAF,NO2,OZONE,AREA,RISK_SCORE,EAL_SCORE,SOVI_SCORE,RESL_SCORE,Population_x,Total Cancer Risk (per million),county_fips,Whole Body HI
0,0,ALABAMA,AUTAUGA,AL,01001,1.651932868139989,151.48505136612022,27855.216606434347,5132865.5261870725,86.59243858099086,861.26294,610.47050844,57.56997455470738,59.870049504950494,38.04071247,55.1208651399491,109142.0,641.3446438646234,01001,0.002406128370036
1,6,ALABAMA,BALDWIN,AL,01003,3.358812142436815,401.1393833333333,20079.28656844401,8745981.356316019,159.68391309094196,2420.76095,2047.73877477,96.72391857506362,96.62747524752477,44.24300254,93.00254452926208,364530.0,1131.5800928593753,01003,0.003245195639983
2,30,ALABAMA,BARBOUR,AL,01005,0.422200417747458,75.29450437158472,1236.3301645967829,845215.6644366548,33.38417857684575,471.28931,913.64651118,48.1234096692112,30.538366336633665,96.3740458,11.16412213740458,54914.0,457.3870057957193,01005,0.002081227245746
3,38,ALABAMA,BIBB,AL,01007,0.472858703550734,68.45525956284153,16008.211721259493,362132.4218065503,20.233755197640683,417.27886,632.4867978000001,39.12213740458015,31.002475247524757,75.25445293,22.169211195928757,45830.0,229.9223489512846,01007,0.000780497202736
4,47,ALABAMA,BLOUNT,AL,01009,1.2145612909231789,135.80485710382516,23375.03813738706,870143.3099080048,52.888764019831356,880.67126,657.1965546900001,68.4796437659033,62.34529702970298,69.33842239,15.648854961832065,114644.0,391.0322110894727,01009,0.00145331772929
5,56,ALABAMA,BULLOCK,AL,01011,0.158636739201223,33.08028633879781,2119.4320829969133,115969.11081960605,10.972796017030875,207.12983,631.45451226,25.254452926208653,13.551980198019804,97.55089059,33.14249363867685,21828.0,193.8046745883829,01011,0.001400442975723
6,60,ALABAMA,BUTLER,AL,01013,0.548007441297934,72.69166639344262,32.221045017295275,783061.3098835633,33.9469193976965,461.28427,785.73446055,45.165394402035616,32.42574257425743,91.76208651,50.03180661577608,41894.0,433.4138083273049,01013,0.001513046866677
7,68,ALABAMA,CALHOUN,AL,01015,3.476700041986545,319.04770601092895,865736.5529505364,16332505.6967464,193.64852107199886,1985.92639,618.45514341,88.45419847328243,84.77722772277228,81.48854962,48.44147582697201,237144.0,1335.9119118220447,01015,0.007098907895569
8,87,ALABAMA,CHAMBERS,AL,01017,0.7296040962686979,76.79719289617486,2268.734741918356,1276065.8565409312,31.694047693024267,475.82211,609.20234739,47.23282442748092,38.70668316831682,79.42111959,41.4440203562341,68430.0,455.3088346349537,01017,0.001878996224801
9,101,ALABAMA,CHEROKEE,AL,01019,0.575084612350573,65.04822076502731,18782.485239751157,114079.88642418195,29.506624456997564,420.02913,606.03334623,63.32697201017812,53.1559405940594,81.80661578,16.125954198473284,51978.0,279.0720423285918,01019,0.001375275442471
