OBJECTID,HUC_12,CRP_acres
1,010100030301,50-100
2,010100030302,500-1000
3,010100030304,500-1000
4,010100030305,200-500
5,010100030306,<50
6,010100030401,200-500
7,010100030402,500-1000
8,010100030403,500-1000
9,010100040901,<50
10,010100040909,<50
11,010100041001,50-100
12,010100041007,<50
13,010100041008,<50
14,010100041009,100-200
15,010100041101,200-500
16,010100041109,<50
17,010100041110,<50
18,010100041112,200-500
19,010100041113,<50
20,010100050102,<50
21,010100050202,<50
22,010100050203,<50
23,010100050303,<50
24,010100050304,<50
25,010100050305,100-200
26,010100050306,100-200
27,010100050307,200-500
28,010100020101,0
29,010100020102,0
30,010100020103,0
31,010100020104,0
32,010100020105,0
33,010100020201,0
34,010100020202,0
35,010100020203,0
36,010100020204,0
37,010100020301,0
38,010100020302,0
39,010100020303,0
40,010100020304,0
41,010100020305,0
42,010100020306,0
43,010100020307,0
44,010100020308,0
45,010100020401,0
46,010100020402,0
47,010100020403,0
48,010100020404,0
49,010100020405,0
50,010100020406,0
51,010100020501,0
52,010100020502,0
53,010100020503,0
54,010100020504,0
55,010100020505,0
56,010100020601,0
57,010100020602,0
58,010100020701,0
59,010100020702,0
60,010100020703,0
61,010100020704,0
62,010100020705,0
63,010100020706,0
64,010100020707,0
65,010100020708,0
66,010100020709,0
67,010100020710,0
68,010100020711,0
69,010100030101,0
70,010100030102,0
71,010100030103,0
72,010100030104,0
73,010100030105,0
74,010100030201,0
75,010100030202,0
76,010100030203,0
77,010100030204,0
78,010100030205,0
79,010100030206,0
80,010100030207,0
81,010100030303,0
82,010100030307,0
83,010100030308,0
84,010100030309,0
85,010100030310,0
86,010100040101,0
87,010100040102,0
88,010100040103,0
89,010100040104,0
90,010100040201,0
91,010100040202,0
92,010100040203,0
93,010100040301,0
94,010100040302,0
95,010100040303,0
96,010100040304,0
97,010100040305,0
98,010100040306,0
99,010100040401,0
100,010100040402,0
101,010100040501,0
102,010100040502,0
103,010100040503,0
104,010100040504,0
105,010100040505,0
106,010100040506,0
107,010100040601,0
108,010100040602,0
109,010100040603,0
110,010100040604,0
111,010100040605,0
112,010100040606,0
113,010100040701,0
114,010100040702,0
115,010100040703,0
116,010100040801,0
117,010100040802,0
118,010100040803,0
119,010100040804,0
120,010100040805,0
121,010100040902,0
122,010100040903,0
123,010100040904,0
124,010100040905,0
125,010100040906,0
126,010100040907,0
127,010100040908,0
128,010100041002,0
129,010100041003,0
130,010100041004,0
131,010100041005,0
132,010100041006,0
133,010100041102,0
134,010100041103,0
135,010100041104,0
136,010100041105,0
137,010100041106,0
138,010100041107,0
139,010100041108,0
140,010100041111,0
141,010100050101,0
142,010100050201,0
143,010100050301,0
144,010100050302,0
145,010100050308,0
146,010100060101,0
