OBJECTID,HUC_12,CRP_acres
147,010100060102,0
148,010100060103,0
149,010100060104,0
150,010100060105,0
151,010100060106,0
152,010100080503,100-200
153,010100081107,200-500
154,010100081108,200-500
155,010100090601,500-1000
156,010100090603,50-100
157,010100090604,<50
158,010100090605,50-100
159,010100090607,<50
160,010100090608,<50
161,010100100102,<50
162,010100100201,<50
163,010100100205,100-200
164,010100100206,<50
165,010100060107,0
166,010100060108,0
167,010100060109,0
168,010100060201,0
169,010100060202,0
170,010100060203,0
171,010100060204,0
172,010100060205,0
173,010100060206,0
174,010100060207,0
175,010100060208,0
176,010100060305,0
177,010100060306,0
178,010100060307,0
179,010100060312,0
180,010100060313,0
181,010100070101,0
182,010100070102,0
183,010100070103,0
184,010100070204,0
185,010100070205,0
186,010100070206,0
187,010100070207,0
188,010100070208,0
189,010100070209,0
190,010100070301,0
191,010100070302,0
192,010100070303,0
193,010100070304,0
194,010100070305,0
195,010100070306,0
196,010100070401,0
197,010100070402,0
198,010100070403,0
199,010100070404,0
200,010100070405,0
201,010100070502,0
202,010100070503,0
203,010100070504,0
204,010100070505,0
205,010100070506,0
206,010100070507,0
207,010100070601,0
208,010100070602,0
209,010100070603,0
210,010100070604,0
211,010100070605,0
212,010100070606,0
213,010100070607,0
214,010100070701,0
215,010100070702,0
216,010100070703,0
217,010100080101,0
218,010100080102,0
219,010100080401,0
220,010100080403,0
221,010100080404,0
222,010100080405,0
223,010100080406,0
224,010100080407,0
225,010100080408,0
226,010100080504,0
227,010100100101,0
228,010100100202,0
229,010100100203,0
230,010100100204,0
231,010100100207,0
232,010100110103,0
233,010200010101,0
234,010200010102,0
235,010200010103,0
236,010200010104,0
237,010200010105,0
238,010200010106,0
239,010200010201,0
240,010200010202,0
241,010200010203,0
242,010200010204,0
243,010200010205,0
244,010200010206,0
245,010200010207,0
246,010200010208,0
247,010200010209,0
248,010200010210,0
249,010200010301,0
250,010200010302,0
251,010200010303,0
252,010200010304,0
253,010200010305,0
254,010200010306,0
255,010200010307,0
256,010200010308,0
257,010200010401,0
258,010200010402,0
259,010200010403,0
260,010200010404,0
261,010200010501,0
262,010200010502,0
263,010200010503,0
264,010200010504,0
265,010200010505,0
266,010200010506,0
267,010200010507,0
268,010200010508,0
269,010200010509,0
270,010200010601,0
271,010200010602,0
272,010200010701,0
273,010200010702,0
274,010200010703,0
275,010200010704,0
276,010200010801,0
277,010200010802,0
278,010200010803,0
279,010200010804,0
280,010200010805,0
281,010200010901,0
282,010200010902,0
283,010200010903,0
284,010200010904,0
285,010200010905,0
286,010200010906,0
287,010200010907,0
288,010200011001,0
289,010200011002,0
290,010200011003,0
291,010200011004,0
292,010200011005,0
293,010200011006,0
294,010200011007,0
295,010200020101,0
296,010200020102,0
297,010200020103,0
298,010200020104,0
299,010200020105,0
300,010200020106,0
301,010200020107,0
302,010200020108,0
303,010200020504,<50
304,010200030103,<50
305,010200030104,<50
306,010200030106,50-100
307,010200030107,200-500
308,010200030108,<50
309,010200030110,100-200
310,010200030202,<50
311,010200030601,<50
312,010200030602,50-100
313,010200030603,50-100
314,010200030607,<50
315,010200050101,<50
316,010200050701,<50
317,010300030503,<50
318,010300030904,<50
319,010300031004,<50
320,010300031103,<50
321,010300031206,<50
322,010300031802,<50
323,010400020606,<50
324,010400020701,<50
325,010400021002,<50
326,010200020201,0
327,010200020202,0
328,010200020203,0
329,010200020204,0
330,010200020205,0
331,010200020301,0
332,010200020302,0
333,010200020303,0
334,010200020304,0
335,010200020401,0
336,010200020402,0
337,010200020403,0
338,010200020404,0
339,010200020405,0
340,010200020406,0
341,010200020407,0
342,010200020408,0
343,010200020501,0
344,010200020502,0
345,010200020503,0
346,010200020505,0
347,010200020506,0
348,010200020507,0
349,010200030101,0
350,010200030102,0
351,010200030105,0
352,010200030109,0
353,010200030111,0
354,010200030112,0
355,010200030113,0
356,010200030201,0
357,010200030203,0
358,010200030204,0
359,010200030205,0
360,010200030301,0
361,010200030302,0
362,010200030303,0
363,010200030401,0
364,010200030402,0
365,010200030403,0
366,010200030404,0
367,010200030501,0
368,010200030502,0
369,010200030503,0
370,010200030504,0
371,010200030505,0
372,010200030506,0
373,010200030507,0
374,010200030508,0
375,010200030509,0
376,010200030510,0
377,010200030511,0
378,010200030604,0
379,010200030605,0
380,010200030606,0
381,010200030701,0
382,010200030702,0
383,010200030703,0
384,010200030704,0
385,010200040101,0
386,010200040102,0
387,010200040103,0
388,010200040104,0
389,010200040105,0
390,010200040106,0
391,010200040107,0
392,010200040108,0
393,010200040109,0
394,010200040110,0
395,010200040111,0
396,010200040201,0
397,010200040202,0
398,010200040203,0
399,010200040204,0
400,010200040205,0
401,010200040301,0
402,010200040302,0
403,010200040303,0
404,010200040304,0
405,010200040305,0
406,010200040306,0
407,010200040307,0
408,010200040308,0
409,010200040309,0
410,010200040310,0
411,010200040311,0
412,010200040312,0
413,010200040401,0
414,010200040402,0
415,010200040403,0
416,010200040404,0
417,010200040405,0
418,010200040406,0
419,010200040407,0
420,010200040408,0
421,010200040409,0
422,010200040410,0
423,010200040501,0
424,010200040502,0
425,010200040503,0
426,010200040504,0
427,010200040601,0
428,010200040602,0
429,010200040603,0
430,010200040604,0
431,010200050102,0
432,010200050103,0
433,010200050104,0
434,010200050201,0
435,010200050202,0
436,010200050203,0
437,010200050204,0
438,010200050205,0
439,010200050206,0
440,010200050207,0
441,010200050208,0
442,010200050301,0
443,010200050302,0
444,010200050303,0
445,010200050304,0
446,010200050305,0
447,010200050306,0
448,010200050307,0
449,010200050308,0
450,010200050309,0
451,010200050310,0
452,010200050311,0
453,010200050401,0
454,010200050402,0
455,010200050403,0
456,010200050404,0
457,010200050405,0
458,010200050406,0
459,010200050407,0
460,010200050408,0
461,010200050501,0
462,010200050502,0
463,010200050503,0
464,010200050504,0
465,010200050505,0
466,010200050506,0
467,010200050507,0
468,010200050508,0
469,010200050509,0
470,010200050510,0
471,010200050601,0
472,010200050602,0
473,010200050603,0
474,010200050702,0
475,010200050703,0
476,010200050704,0
477,010200050705,0
478,010200050706,0
479,010200050707,0
480,010200050801,0
481,010200050802,0
482,010200050803,0
483,010200050804,0
484,010200050805,0
485,010200050901,0
486,010200050902,0
487,010200050903,0
488,010200050904,0
489,010200050905,0
490,010200050906,0
491,010200051001,0
492,010200051002,0
493,010200051003,0
494,010200051004,0
495,010200051005,0
496,010200051006,0
497,010200051007,0
498,010200051008,0
499,010200051009,0
500,010300010101,0
501,010300010102,0
502,010300010201,0
503,010300010202,0
504,010300010203,0
505,010300010204,0
506,010300010205,0
507,010300010206,0
508,010300010301,0
509,010300010302,0
510,010300010303,0
511,010300010304,0
512,010300010305,0
513,010300010306,0
514,010300010307,0
515,010300010308,0
516,010300010309,0
517,010300010310,0
518,010300010401,0
519,010300010402,0
520,010300010403,0
521,010300010404,0
522,010300010501,0
523,010300010502,0
524,010300010503,0
525,010300010504,0
526,010300010505,0
527,010300010506,0
528,010300010507,0
529,010300010508,0
530,010300010509,0
531,010300010510,0
532,010300010601,0
533,010300010602,0
534,010300010603,0
535,010300010604,0
536,010300010605,0
537,010300010606,0
538,010300010607,0
539,010300010608,0
540,010300010609,0
541,010300010610,0
542,010300020101,0
543,010300020102,0
544,010300020103,0
545,010300020104,0
546,010300020105,0
547,010300020106,0
548,010300020201,0
549,010300020202,0
550,010300020203,0
551,010300020204,0
552,010300020301,0
553,010300020302,0
554,010300020303,0
555,010300020304,0
556,010300020401,0
557,010300020402,0
558,010300020403,0
559,010300020404,0
560,010300020405,0
561,010300020406,0
562,010300020501,0
563,010300020502,0
564,010300020503,0
565,010300020504,0
566,010300020505,0
567,010300020506,0
568,010300030101,0
569,010300030102,0
570,010300030103,0
571,010300030104,0
572,010300030105,0
573,010300030106,0
574,010300030201,0
575,010300030202,0
576,010300030203,0
577,010300030301,0
578,010300030302,0
579,010300030303,0
580,010300030304,0
581,010300030401,0
582,010300030402,0
583,010300030501,0
584,010300030502,0
585,010300030601,0
586,010300030602,0
587,010300030701,0
588,010300030702,0
589,010300030703,0
590,010300030801,0
591,010300030802,0
592,010300030803,0
593,010300030804,0
594,010300030901,0
595,010300030902,0
596,010300030903,0
597,010300030905,0
598,010300031001,0
599,010300031002,0
600,010300031003,0
601,010300031101,0
602,010300031102,0
603,010300031201,0
604,010300031202,0
605,010300031203,0
606,010300031204,0
607,010300031205,0
608,010300031301,0
609,010300031302,0
610,010300031401,0
611,010300031402,0
612,010300031403,0
613,010300031404,0
614,010300031405,0
615,010300031501,0
616,010300031502,0
617,010300031503,0
618,010300031504,0
619,010300031505,0
620,010300031506,0
621,010300031507,0
622,010300031601,0
623,010300031602,0
624,010300031603,0
625,010300031604,0
626,010300031605,0
627,010300031606,0
628,010300031701,0
629,010300031702,0
630,010300031801,0
631,010300031803,0
632,010300031804,0
633,010300031805,0
634,010300031806,0
635,010300031901,0
636,010300031902,0
637,010300031903,0
638,010300031904,0
639,010300032001,0
640,010300032002,0
641,010300032003,0
642,010300032004,0
643,010300032005,0
644,010300032101,0
645,010300032102,0
646,010300032103,0
647,010300032104,0
648,010300032105,0
649,010300032106,0
650,010300032201,0
651,010300032202,0
652,010300032203,0
653,010300032204,0
654,010300032205,0
655,010300032301,0
656,010300032302,0
657,010300032303,0
658,010300032304,0
659,010300032305,0
660,010300032306,0
661,010300032307,0
662,010300032308,0
663,010300032309,0
664,010300032401,0
665,010300032402,0
666,010300032403,0
667,010300032404,0
668,010300032405,0
669,010300032406,0
670,010300032407,0
671,010300032408,0
672,010300032409,0
673,010400010101,0
674,010400010102,0
675,010400010103,0
676,010400010104,0
677,010400010105,0
678,010400010106,0
679,010400010107,0
680,010400010108,0
681,010400010109,0
682,010400010110,0
683,010400010201,0
684,010400010202,0
685,010400010203,0
686,010400010301,0
687,010400010302,0
688,010400010303,0
689,010400010304,0
690,010400010305,0
691,010400010306,0
692,010400010401,0
693,010400010402,0
694,010400010403,0
695,010400010404,0
696,010400010405,0
697,010400010406,0
698,010400010501,0
699,010400010502,0
700,010400010601,0
701,010400010602,0
702,010400010603,0
703,010400010604,0
704,010400010605,0
705,010400010606,0
706,010400010607,0
707,010400020101,0
708,010400020102,0
709,010400020103,0
710,010400020201,0
711,010400020202,0
712,010400020203,0
713,010400020204,0
714,010400020205,0
715,010400020206,0
716,010400020207,0
717,010400020301,0
718,010400020302,0
719,010400020303,0
720,010400020304,0
721,010400020305,0
722,010400020401,0
723,010400020402,0
724,010400020403,0
725,010400020404,0
726,010400020405,0
727,010400020406,0
728,010400020501,0
729,010400020502,0
730,010400020503,0
731,010400020504,0
732,010400020505,0
733,010400020601,0
734,010400020602,0
735,010400020603,0
736,010400020604,0
737,010400020605,0
738,010400020702,0
739,010400020703,0
740,010400020704,0
741,010400020801,0
742,010400020802,0
743,010400020803,0
744,010400020901,0
745,010400020902,0
746,010400020903,0
747,010400020904,0
748,010400020905,0
749,010400020906,0
750,010400020907,0
751,010400020908,0
752,010400020909,0
753,010400020910,0
754,010400021001,0
755,010400021003,0
756,010400021004,0
757,010400021005,0
758,010400021006,0
759,010400021007,0
760,010500010101,0
761,010500010102,0
762,010500010207,0
763,010500010301,0
764,010500010302,0
765,010500010303,0
766,010500010304,0
767,010500010305,0
768,010500010306,0
769,010500010307,0
770,010500010401,0
771,010500010402,0
772,010500010403,0
773,010500010404,0
774,010500010501,0
775,010500010502,0
776,010500010503,0
777,010500010504,0
778,010500010505,0
779,010500010506,0
780,010500010601,0
781,010500010602,0
782,010500010603,0
783,010500010604,0
784,010500010605,0
785,010500010606,0
786,010500010701,0
787,010500010702,0
788,010500010705,0
789,010500010706,0
790,010500010707,0
791,010500010708,0
792,010500010801,0
793,010500010802,0
794,010500010804,0
795,010500010806,0
796,010500010809,0
797,010500010810,0
798,010500020101,0
799,010500020102,0
800,010500020103,0
801,010500020104,0
802,010500020201,0
803,010500020202,0
804,010500040204,<50
805,010600020304,<50
806,010700020107,<50
807,010801010304,<50
808,010801010305,<50
809,010801010603,<50
810,010801010902,<50
811,010801010903,<50
812,010801020203,<50
813,010801020301,<50
814,010500020203,0
815,010500020204,0
816,010500020205,0
817,010500020301,0
818,010500020302,0
819,010500020401,0
820,010500020402,0
821,010500020403,0
822,010500020501,0
823,010500020502,0
824,010500020503,0
825,010500020601,0
826,010500020602,0
827,010500020603,0
828,010500020604,0
829,010500020701,0
830,010500020702,0
831,010500020703,0
832,010500020801,0
833,010500020802,0
834,010500020803,0
835,010500020804,0
836,010500020805,0
837,010500020901,0
838,010500020902,0
839,010500020903,0
840,010500020904,0
841,010500020905,0
842,010500020906,0
843,010500020907,0
844,010500020908,0
845,010500021001,0
846,010500021002,0
847,010500021003,0
848,010500021004,0
849,010500021005,0
850,010500021006,0
851,010500021007,0
852,010500021008,0
853,010500021101,0
854,010500021102,0
855,010500021103,0
856,010500021104,0
857,010500021105,0
858,010500021106,0
859,010500021107,0
860,010500021108,0
861,010500021109,0
862,010500021110,0
863,010500021111,0
864,010500021201,0
865,010500021202,0
866,010500021203,0
867,010500021204,0
868,010500021205,0
869,010500021206,0
870,010500021207,0
871,010500021208,0
872,010500021209,0
873,010500021210,0
874,010500021211,0
875,010500021212,0
876,010500021213,0
877,010500021214,0
878,010500021215,0
879,010500021301,0
880,010500021302,0
881,010500021303,0
882,010500021304,0
883,010500021401,0
884,010500021402,0
885,010500021403,0
886,010500021404,0
887,010500021405,0
888,010500021406,0
889,010500021407,0
890,010500021408,0
891,010500021409,0
892,010500021410,0
893,010500021501,0
894,010500021502,0
895,010500021503,0
896,010500021504,0
897,010500021505,0
898,010500021506,0
899,010500021507,0
900,010500021508,0
901,010500021509,0
902,010500021601,0
903,010500021602,0
904,010500021701,0
905,010500021702,0
906,010500021703,0
907,010500021801,0
908,010500021802,0
909,010500021803,0
910,010500021901,0
911,010500021902,0
912,010500021903,0
913,010500021904,0
914,010500021905,0
915,010500021906,0
916,010500021907,0
917,010500021908,0
918,010500021909,0
919,010500030101,0
920,010500030102,0
921,010500030103,0
922,010500030104,0
923,010500030105,0
924,010500030106,0
925,010500030107,0
926,010500030201,0
927,010500030202,0
928,010500030203,0
929,010500030204,0
930,010500030205,0
931,010500030206,0
932,010500030301,0
933,010500030302,0
934,010500030303,0
935,010500030304,0
936,010500030305,0
937,010500030306,0
938,010500030307,0
939,010500030401,0
940,010500030402,0
941,010500030403,0
942,010500030404,0
943,010500030405,0
944,010500030406,0
945,010500030501,0
946,010500030502,0
947,010500030503,0
948,010500030504,0
949,010500030601,0
950,010500030602,0
951,010500030603,0
952,010500030604,0
953,010500030605,0
954,010500030606,0
955,010500040203,0
956,010500040401,0
957,010500040402,0
958,010500040403,0
959,010500040404,0
960,010500040501,0
961,010500040502,0
962,010500040601,0
963,010500040602,0
964,010500040603,0
965,010500040604,0
966,010500040605,0
967,010500040606,0
968,010500040701,0
969,010500040702,0
970,010500040901,0
971,010500040902,0
972,010500040903,0
973,010500040904,0
974,010600010101,0
975,010600010102,0
976,010600010103,0
977,010600010104,0
978,010600010105,0
979,010600010106,0
980,010600010107,0
981,010600010108,0
982,010600010109,0
983,010600010110,0
984,010600010201,0
985,010600010202,0
986,010600010203,0
987,010600010204,0
988,010600010205,0
989,010600010206,0
990,010600010301,0
991,010600010302,0
992,010600010303,0
993,010600010304,0
994,010600010305,0
995,010600010306,0
996,010600010401,0
997,010600010402,0
998,010600010501,0
999,010600010502,0
1000,010600010503,0
1001,010600010504,0
1002,010600010505,0
1003,010600010506,0
1004,010600010507,0
1005,010600010601,0
1006,010600010602,0
1007,010600010603,0
1008,010600010606,0
1009,010600010607,0
1010,010600020101,0
1011,010600020102,0
1012,010600020103,0
1013,010600020104,0
1014,010600020105,0
1015,010600020106,0
1016,010600020201,0
1017,010600020202,0
1018,010600020203,0
1019,010600020204,0
1020,010600020301,0
1021,010600020302,0
1022,010600020303,0
1023,010600020401,0
1024,010600020402,0
1025,010600020403,0
1026,010600020404,0
1027,010600020405,0
1028,010600020406,0
1029,010600020501,0
1030,010600020502,0
1031,010600020503,0
1032,010600020504,0
1033,010600020601,0
1034,010600020602,0
1035,010600020603,0
1036,010600020604,0
1037,010600020605,0
1038,010600020701,0
1039,010600020702,0
1040,010600020703,0
1041,010600020801,0
1042,010600020802,0
1043,010600020803,0
1044,010600020804,0
1045,010600020901,0
1046,010600020902,0
1047,010600020903,0
1048,010600020904,0
1049,010600021001,0
1050,010600021002,0
1051,010600021003,0
1052,010600021004,0
1053,010600021005,0
1054,010600021006,0
1055,010600021007,0
1056,010600021101,0
1057,010600021102,0
1058,010600021103,0
1059,010600021104,0
1060,010600021105,0
1061,010600021106,0
1062,010600030101,0
1063,010600030102,0
1064,010600030103,0
1065,010600030104,0
1066,010600030201,0
1067,010600030202,0
1068,010600030203,0
1069,010600030204,0
1070,010600030205,0
1071,010600030206,0
1072,010600030207,0
1073,010600030301,0
1074,010600030302,0
1075,010600030303,0
1076,010600030401,0
1077,010600030402,0
1078,010600030501,0
1079,010600030502,0
1080,010600030503,0
1081,010600030504,0
1082,010600030505,0
1083,010600030506,0
1084,010600030507,0
1085,010600030601,0
1086,010600030602,0
1087,010600030603,0
1088,010600030604,0
1089,010600030605,0
1090,010600030606,0
1091,010600030607,0
1092,010600030608,0
1093,010600030701,0
1094,010600030702,0
1095,010600030703,0
1096,010600030704,0
1097,010600030705,0
1098,010600030706,0
1099,010600030707,0
1100,010600030708,0
1101,010600030709,0
1102,010600030801,0
1103,010600030802,0
1104,010600030803,0
1105,010600030804,0
1106,010600030805,0
1107,010600030806,0
1108,010600030901,0
1109,010600030902,0
1110,010600030903,0
1111,010600030904,0
1112,010600031001,0
1113,010600031002,0
1114,010600031003,0
1115,010600031004,0
1116,010600031005,0
1117,010600031101,0
1118,010600031102,0
1119,010600031103,0
1120,010600031104,0
1121,010600031105,0
1122,010600031106,0
1123,010700010101,0
1124,010700010102,0
1125,010700010103,0
1126,010700010104,0
1127,010700010201,0
1128,010700010202,0
1129,010700010203,0
1130,010700010204,0
1131,010700010205,0
1132,010700010206,0
1133,010700010301,0
1134,010700010302,0
1135,010700010303,0
1136,010700010304,0
1137,010700010305,0
1138,010700010306,0
1139,010700010307,0
1140,010700010401,0
1141,010700010402,0
1142,010700010403,0
1143,010700010404,0
1144,010700010501,0
1145,010700010502,0
1146,010700010601,0
1147,010700010602,0
1148,010700010603,0
1149,010700010701,0
1150,010700010702,0
1151,010700010801,0
1152,010700010802,0
1153,010700010803,0
1154,010700010804,0
1155,010700020101,0
1156,010700020102,0
1157,010700020103,0
1158,010700020104,0
1159,010700020105,0
1160,010700020106,0
1161,010700020108,0
1162,010700020109,0
1163,010700020110,0
1164,010700020201,0
1165,010700020202,0
1166,010700030101,0
1167,010700030102,0
1168,010700030103,0
1169,010700030104,0
1170,010700030105,0
1171,010700030106,0
1172,010700030107,0
1173,010700030108,0
1174,010700030201,0
1175,010700030202,0
1176,010700030203,0
1177,010700030204,0
1178,010700030301,0
1179,010700030302,0
1180,010700030303,0
1181,010700030401,0
1182,010700030402,0
1183,010700030403,0
1184,010700030404,0
1185,010700030501,0
1186,010700030502,0
1187,010700030503,0
1188,010700030504,0
1189,010700030601,0
1190,010700030602,0
1191,010700030603,0
1192,010700040101,0
1193,010700040102,0
1194,010700040103,0
1195,010700040201,0
1196,010700040202,0
1197,010700040203,0
1198,010700040204,0
1199,010700040205,0
1200,010700040301,0
1201,010700040302,0
1202,010700040401,0
1203,010700040402,0
1204,010700050101,0
1205,010700050102,0
1206,010700050103,0
1207,010700050104,0
1208,010700050201,0
1209,010700050202,0
1210,010700050203,0
1211,010700050204,0
1212,010700050205,0
1213,010700050206,0
1214,010700060101,0
1215,010700060102,0
1216,010700060201,0
1217,010700060202,0
1218,010700060301,0
1219,010700060302,0
1220,010700060401,0
1221,010700060402,0
1222,010700060501,0
1223,010700060502,0
1224,010700060503,0
1225,010700060601,0
1226,010700060602,0
1227,010700060603,0
1228,010700060604,0
1229,010700060605,0
1230,010700060606,0
1231,010700060607,0
1232,010700060701,0
1233,010700060702,0
1234,010700060703,0
1235,010700060801,0
1236,010700060802,0
1237,010700060803,0
1238,010700060804,0
1239,010700060901,0
1240,010700060902,0
1241,010700060903,0
1242,010700060904,0
1243,010700060905,0
1244,010700060906,0
1245,010700061001,0
1246,010700061002,0
1247,010700061101,0
1248,010700061102,0
1249,010700061201,0
1250,010700061202,0
1251,010700061203,0
1252,010700061204,0
1253,010700061205,0
1254,010700061206,0
1255,010700061207,0
1256,010700061301,0
1257,010700061302,0
1258,010700061303,0
1259,010700061401,0
1260,010700061402,0
1261,010700061403,0
1262,010700061404,0
1263,010801010101,0
1264,010801010102,0
1265,010801010103,0
1266,010801010104,0
1267,010801010201,0
1268,010801010202,0
1269,010801010203,0
1270,010801010301,0
1271,010801010303,0
1272,010801010401,0
1273,010801010402,0
1274,010801010403,0
1275,010801010404,0
1276,010801010405,0
1277,010801010501,0
1278,010801010502,0
1279,010801010503,0
1280,010801010601,0
1281,010801010602,0
1282,010801010701,0
1283,010801010702,0
1284,010801010703,0
1285,010801010704,0
1286,010801010705,0
1287,010801010706,0
1288,010801010707,0
1289,010801010801,0
1290,010801010802,0
1291,010801010803,0
1292,010801010804,0
1293,010801010805,0
1294,010801010806,0
1295,010801010901,0
1296,010801020101,0
1297,010801020102,0
1298,010801020103,0
1299,010801020104,0
1300,010801020201,0
1301,010801020202,0
1302,010801020302,0
1303,010801020401,0
1304,010801020402,0
1305,010801020403,<50
1306,010801030204,<50
1307,010801030503,<50
1308,010801030602,<50
1309,010801030703,<50
1310,010801040101,<50
1311,010801040102,<50
1312,010801040103,<50
1313,010801040302,<50
1314,010801050101,<50
1315,010801050103,<50
1316,010801050202,<50
1317,010801050301,<50
1318,010801050302,<50
1319,010801050402,<50
1320,010801050501,<50
1321,010801060603,<50
1322,010801070102,<50
1323,010801070406,<50
1324,010801070501,<50
1325,010801070502,<50
1326,010802010501,<50
1327,010802010503,<50
1328,010802030502,<50
1329,011000020206,<50
1330,011000040301,<50
1331,011000050501,<50
1332,011000050502,<50
1333,010801030101,0
1334,010801030102,0
1335,010801030201,0
1336,010801030202,0
1337,010801030203,0
1338,010801030205,0
1339,010801030206,0
1340,010801030301,0
1341,010801030302,0
1342,010801030303,0
1343,010801030304,0
1344,010801030401,0
1345,010801030402,0
1346,010801030403,0
1347,010801030501,0
1348,010801030502,0
1349,010801030504,0
1350,010801030505,0
1351,010801030506,0
1352,010801030601,0
1353,010801030701,0
1354,010801030702,0
1355,010801040104,0
1356,010801040201,0
1357,010801040202,0
1358,010801040203,0
1359,010801040204,0
1360,010801040205,0
1361,010801040301,0
1362,010801040303,0
1363,010801040304,0
1364,010801040401,0
1365,010801040402,0
1366,010801050102,0
1367,010801050104,0
1368,010801050105,0
1369,010801050106,0
1370,010801050201,0
1371,010801050203,0
1372,010801050401,0
1373,010801050502,0
1374,010801050503,0
1375,010801060101,0
1376,010801060102,0
1377,010801060103,0
1378,010801060104,0
1379,010801060105,0
1380,010801060106,0
1381,010801060201,0
1382,010801060202,0
1383,010801060203,0
1384,010801060204,0
1385,010801060205,0
1386,010801060206,0
1387,010801060207,0
1388,010801060301,0
1389,010801060302,0
1390,010801060303,0
1391,010801060304,0
1392,010801060305,0
1393,010801060401,0
1394,010801060402,0
1395,010801060403,0
1396,010801060404,0
1397,010801060405,0
1398,010801060406,0
1399,010801060407,0
1400,010801060501,0
1401,010801060502,0
1402,010801060503,0
1403,010801060504,0
1404,010801060505,0
1405,010801060601,0
1406,010801060602,0
1407,010801060701,0
1408,010801060702,0
1409,010801060703,0
1410,010801070101,0
1411,010801070201,0
1412,010801070202,0
1413,010801070203,0
1414,010801070301,0
1415,010801070302,0
1416,010801070303,0
1417,010801070304,0
1418,010801070305,0
1419,010801070306,0
1420,010801070307,0
1421,010801070401,0
1422,010801070402,0
1423,010801070403,0
1424,010801070404,0
1425,010801070405,0
1426,010801070503,0
1427,010801070504,0
1428,010801070505,0
1429,010801070506,0
1430,010801070507,0
1431,010802010101,0
1432,010802010102,0
1433,010802010103,0
1434,010802010104,0
1435,010802010201,0
1436,010802010202,0
1437,010802010301,0
1438,010802010302,0
1439,010802010303,0
1440,010802010401,0
1441,010802010402,0
1442,010802010403,0
1443,010802010502,0
1444,010802010601,0
1445,010802010602,0
1446,010802010603,0
1447,010802010604,0
1448,010802010605,0
1449,010802010606,0
1450,010802010607,0
1451,010802010608,0
1452,010802010609,0
1453,010802010610,0
1454,010802010701,0
1455,010802010702,0
1456,010802020101,0
1457,010802020102,0
1458,010802020103,0
1459,010802020201,0
1460,010802020202,0
1461,010802020203,0
1462,010802020204,0
1463,010802020205,0
1464,010802020206,0
1465,010802020207,0
1466,010802030101,0
1467,010802030102,0
1468,010802030103,0
1469,010802030104,0
1470,010802030105,0
1471,010802030201,0
1472,010802030202,0
1473,010802030203,0
1474,010802030204,0
1475,010802030205,0
1476,010802030301,0
1477,010802030302,0
1478,010802030401,0
1479,010802030402,0
1480,010802030501,0
1481,010802040101,0
1482,010802040102,0
