,state,county,state_code,FIPS
0,ALABAMA,AUTAUGA,AL,01001
6,ALABAMA,BALDWIN,AL,01003
30,ALABAMA,BARBOUR,AL,01005
38,ALABAMA,BIBB,AL,01007
47,ALABAMA,BLOUNT,AL,01009
56,ALABAMA,BULLOCK,AL,01011
60,ALABAMA,BUTLER,AL,01013
68,ALABAMA,CALHOUN,AL,01015
87,ALABAMA,CHAMBERS,AL,01017
101,ALABAMA,CHEROKEE,AL,01019
108,ALABAMA,CHILTON,AL,01021
115,ALABAMA,CHOCTAW,AL,01023
132,ALABAMA,CLARKE,AL,01025
150,ALABAMA,CLAY,AL,01027
157,ALABAMA,CLEBURNE,AL,01029
163,ALABAMA,COFFEE,AL,01031
169,ALABAMA,COLBERT,AL,01033
176,ALABAMA,CONECUH,AL,01035
183,ALABAMA,COOSA,AL,01037
192,ALABAMA,COVINGTON,AL,01039
205,ALABAMA,CRENSHAW,AL,01041
214,ALABAMA,CULLMAN,AL,01043
226,ALABAMA,DALE,AL,01045
239,ALABAMA,DALLAS,AL,01047
251,ALABAMA,ELMORE,AL,01051
261,ALABAMA,ESCAMBIA,AL,01053
269,ALABAMA,ETOWAH,AL,01055
283,ALABAMA,FAYETTE,AL,01057
288,ALABAMA,FRANKLIN,AL,01059
294,ALABAMA,GENEVA,AL,01061
304,ALABAMA,GREENE,AL,01063
311,ALABAMA,HALE,AL,01065
319,ALABAMA,HENRY,AL,01067
324,ALABAMA,HOUSTON,AL,01069
336,ALABAMA,JACKSON,AL,01071
355,ALABAMA,JEFFERSON,AL,01073
423,ALABAMA,LAMAR,AL,01075
431,ALABAMA,LAUDERDALE,AL,01077
439,ALABAMA,LAWRENCE,AL,01079
446,ALABAMA,LEE,AL,01081
453,ALABAMA,LIMESTONE,AL,01083
461,ALABAMA,LOWNDES,AL,01085
471,ALABAMA,MACON,AL,01087
480,ALABAMA,MADISON,AL,01089
498,ALABAMA,MARENGO,AL,01091
510,ALABAMA,MARION,AL,01093
520,ALABAMA,MARSHALL,AL,01095
528,ALABAMA,MOBILE,AL,01097
549,ALABAMA,MONROE,AL,01099
566,ALABAMA,MONTGOMERY,AL,01101
581,ALABAMA,MORGAN,AL,01103
592,ALABAMA,PERRY,AL,01105
596,ALABAMA,PICKENS,AL,01107
603,ALABAMA,PIKE,AL,01109
609,ALABAMA,RANDOLPH,AL,01111
615,ALABAMA,RUSSELL,AL,01113
623,ALABAMA,ST CLAIR,AL,01115
641,ALABAMA,SHELBY,AL,01117
661,ALABAMA,SUMTER,AL,01119
673,ALABAMA,TALLADEGA,AL,01121
689,ALABAMA,TALLAPOOSA,AL,01123
697,ALABAMA,TUSCALOOSA,AL,01125
716,ALABAMA,WALKER,AL,01127
736,ALABAMA,WASHINGTON,AL,01129
754,ALABAMA,WILCOX,AL,01131
774,ALABAMA,WINSTON,AL,01133
783,ALABAMA,DE KALB,AL,01049
810,ALASKA,ALEUTIANS EAST,AK,02013
820,ALASKA,ALEUTIANS WEST,AK,02016
839,ALASKA,ANCHORAGE,AK,02020
846,ALASKA,BETHEL,AK,02050
900,ALASKA,BRISTOL BAY,AK,02060
905,ALASKA,DENALI,AK,02068
915,ALASKA,DILLINGHAM,AK,02070
952,ALASKA,FAIRBANKS NORTH STAR,AK,02090
974,ALASKA,HAINES,AK,02100
976,ALASKA,JUNEAU,AK,02110
977,ALASKA,KENAI PENINSULA,AK,02122
1006,ALASKA,KETCHIKAN GATEWAY,AK,02130
1019,ALASKA,KODIAK ISLAND,AK,02150
1035,ALASKA,LAKE AND PENINSULA,AK,02164
1052,ALASKA,MATANUSKA SUSITNA,AK,02170
1074,ALASKA,NOME,AK,02180
1113,ALASKA,NORTH SLOPE,AK,02185
1132,ALASKA,NORTHWEST ARCTIC,AK,02188
1150,ALASKA,PRINCE OF WALES OUTER,AK,02201
1166,ALASKA,SITKA,AK,02220
1168,ALASKA,SKAGWAY-HOONAH-ANGOON,AK,02232
1181,ALASKA,SOUTHEAST FAIRBANKS,AK,02240
1198,ALASKA,VALDEZ CORDOVA,AK,02261
1229,ALASKA,WADE HAMPTON,AK,02270
1262,ALASKA,WRANGELL PETERSBURG,AK,02280
1269,ALASKA,YAKUTAT,AK,02282
1271,ALASKA,YUKON KOYUKUK,AK,02290
1343,ALASKA,PRINCE OF WALES-HYDER CA,AK,02198
1345,ALASKA,KUSILVAK,AK,02158
1346,ALASKA,HOONAH-ANGOON,AK,02105
