,state,county,state_code,FIPS
1347,ALASKA,COPPER RIVER,AK,02066
1350,ALASKA,CHUGACH,AK,02063
1372,ALASKA,PETERSBURG,AK,02195
1383,ALASKA,WRANGELL,AK,02275
1423,ALASKA,SKAGWAY MUNICIPALITY,AK,02230
1424,ARIZONA,APACHE,AZ,04001
1460,ARIZONA,COCHISE,AZ,04003
1485,ARIZONA,COCONINO,AZ,04005
1518,ARIZONA,GILA,AZ,04007
1534,ARIZONA,GRAHAM,AZ,04009
1544,ARIZONA,GREENLEE,AZ,04011
1551,ARIZONA,LA PAZ,AZ,04012
1558,ARIZONA,MARICOPA,AZ,04013
1601,ARIZONA,MOHAVE,AZ,04015
1626,ARIZONA,NAVAJO,AZ,04017
1659,ARIZONA,PIMA,AZ,04019
1687,ARIZONA,PINAL,AZ,04021
1711,ARIZONA,SANTA CRUZ,AZ,04023
1720,ARIZONA,YAVAPAI,AZ,04025
1751,ARIZONA,YUMA,AZ,04027
1783,ARKANSAS,ARKANSAS,AR,05001
1794,ARKANSAS,ASHLEY,AR,05003
1804,ARKANSAS,BAXTER,AR,05005
1817,ARKANSAS,BENTON,AR,05007
1840,ARKANSAS,BOONE,AR,05009
1851,ARKANSAS,BRADLEY,AR,05011
1856,ARKANSAS,CALHOUN,AR,05013
1860,ARKANSAS,CARROLL,AR,05015
1872,ARKANSAS,CHICOT,AR,05017
1877,ARKANSAS,CLARK,AR,05019
1887,ARKANSAS,CLAY,AR,05021
1899,ARKANSAS,CLEBURNE,AR,05023
1912,ARKANSAS,CLEVELAND,AR,05025
1915,ARKANSAS,COLUMBIA,AR,05027
1921,ARKANSAS,CONWAY,AR,05029
1932,ARKANSAS,CRAIGHEAD,AR,05031
1943,ARKANSAS,CRAWFORD,AR,05033
1956,ARKANSAS,CRITTENDEN,AR,05035
1968,ARKANSAS,CROSS,AR,05037
1977,ARKANSAS,DALLAS,AR,05039
1986,ARKANSAS,DESHA,AR,05041
1997,ARKANSAS,DREW,AR,05043
2005,ARKANSAS,FAULKNER,AR,05045
2016,ARKANSAS,FRANKLIN,AR,05047
2024,ARKANSAS,FULTON,AR,05049
2040,ARKANSAS,GARLAND,AR,05051
2051,ARKANSAS,GRANT,AR,05053
2057,ARKANSAS,GREENE,AR,05055
2065,ARKANSAS,HEMPSTEAD,AR,05057
2076,ARKANSAS,HOT SPRING,AR,05059
2085,ARKANSAS,HOWARD,AR,05061
2093,ARKANSAS,INDEPENDENCE,AR,05063
2114,ARKANSAS,IZARD,AR,05065
2134,ARKANSAS,JACKSON,AR,05067
2149,ARKANSAS,JEFFERSON,AR,05069
2164,ARKANSAS,JOHNSON,AR,05071
2174,ARKANSAS,LAFAYETTE,AR,05073
2178,ARKANSAS,LAWRENCE,AR,05075
2194,ARKANSAS,LEE,AR,05077
2201,ARKANSAS,LINCOLN,AR,05079
2205,ARKANSAS,LITTLE RIVER,AR,05081
2212,ARKANSAS,LOGAN,AR,05083
2225,ARKANSAS,LONOKE,AR,05085
2235,ARKANSAS,MADISON,AR,05087
2252,ARKANSAS,MARION,AR,05089
2260,ARKANSAS,MILLER,AR,05091
2265,ARKANSAS,MISSISSIPPI,AR,05093
2289,ARKANSAS,MONROE,AR,05095
2297,ARKANSAS,MONTGOMERY,AR,05097
2307,ARKANSAS,NEVADA,AR,05099
2317,ARKANSAS,NEWTON,AR,05101
2337,ARKANSAS,OUACHITA,AR,05103
2347,ARKANSAS,PERRY,AR,05105
2355,ARKANSAS,PHILLIPS,AR,05107
2370,ARKANSAS,PIKE,AR,05109
2380,ARKANSAS,POINSETT,AR,05111
2392,ARKANSAS,POLK,AR,05113
2403,ARKANSAS,POPE,AR,05115
2415,ARKANSAS,PRAIRIE,AR,05117
2421,ARKANSAS,PULASKI,AR,05119
2439,ARKANSAS,RANDOLPH,AR,05121
2447,ARKANSAS,ST FRANCIS,AR,05123
2458,ARKANSAS,SALINE,AR,05125
2469,ARKANSAS,SCOTT,AR,05127
2480,ARKANSAS,SEARCY,AR,05129
2491,ARKANSAS,SEBASTIAN,AR,05131
2505,ARKANSAS,SEVIER,AR,05133
2511,ARKANSAS,SHARP,AR,05135
2521,ARKANSAS,STONE,AR,05137
2535,ARKANSAS,UNION,AR,05139
2547,ARKANSAS,VAN BUREN,AR,05141
2557,ARKANSAS,WASHINGTON,AR,05143
2578,ARKANSAS,WHITE,AR,05145
2599,ARKANSAS,WOODRUFF,AR,05147
2606,ARKANSAS,YELL,AR,05149
2628,CALIFORNIA,ALAMEDA,CA,06001
2650,CALIFORNIA,ALPINE,CA,06003
2654,CALIFORNIA,AMADOR,CA,06005
2666,CALIFORNIA,BUTTE,CA,06007
2689,CALIFORNIA,CALAVERAS,CA,06009
2713,CALIFORNIA,COLUSA,CA,06011
2723,CALIFORNIA,CONTRA COSTA,CA,06013
2767,CALIFORNIA,DEL NORTE,CA,06015
2775,CALIFORNIA,EL DORADO,CA,06017
2803,CALIFORNIA,FRESNO,CA,06019
2858,CALIFORNIA,GLENN,CA,06021
2865,CALIFORNIA,HUMBOLDT,CA,06023
2913,CALIFORNIA,IMPERIAL,CA,06025
2932,CALIFORNIA,INYO,CA,06027
2945,CALIFORNIA,KERN,CA,06029
3001,CALIFORNIA,KINGS,CA,06031
3010,CALIFORNIA,LAKE,CA,06033
3026,CALIFORNIA,LASSEN,CA,06035
3042,CALIFORNIA,LOS ANGELES,CA,06037
3200,CALIFORNIA,MADERA,CA,06039
3212,CALIFORNIA,MARIN,CA,06041
3252,CALIFORNIA,MARIPOSA,CA,06043
3265,CALIFORNIA,MENDOCINO,CA,06045
3295,CALIFORNIA,MERCED,CA,06047
3315,CALIFORNIA,MODOC,CA,06049
3328,CALIFORNIA,MONO,CA,06051
3337,CALIFORNIA,MONTEREY,CA,06053
3371,CALIFORNIA,NAPA,CA,06055
3381,CALIFORNIA,NEVADA,CA,06057
3394,CALIFORNIA,ORANGE,CA,06059
3442,CALIFORNIA,PLACER,CA,06061
3475,CALIFORNIA,PLUMAS,CA,06063
3500,CALIFORNIA,RIVERSIDE,CA,06065
3563,CALIFORNIA,SACRAMENTO,CA,06067
3596,CALIFORNIA,SAN BENITO,CA,06069
3603,CALIFORNIA,SAN BERNARDINO,CA,06071
3709,CALIFORNIA,SAN DIEGO,CA,06073
3774,CALIFORNIA,SAN FRANCISCO,CA,06075
3778,CALIFORNIA,SAN JOAQUIN,CA,06077
3801,CALIFORNIA,SAN LUIS OBISPO,CA,06079
3827,CALIFORNIA,SAN MATEO,CA,06081
3856,CALIFORNIA,SANTA BARBARA,CA,06083
3884,CALIFORNIA,SANTA CLARA,CA,06085
3913,CALIFORNIA,SANTA CRUZ,CA,06087
3932,CALIFORNIA,SHASTA,CA,06089
3972,CALIFORNIA,SIERRA,CA,06091
3981,CALIFORNIA,SISKIYOU,CA,06093
4012,CALIFORNIA,SOLANO,CA,06095
4026,CALIFORNIA,SONOMA,CA,06097
4069,CALIFORNIA,STANISLAUS,CA,06099
4095,CALIFORNIA,SUTTER,CA,06101
4106,CALIFORNIA,TEHAMA,CA,06103
4122,CALIFORNIA,TRINITY,CA,06105
4138,CALIFORNIA,TULARE,CA,06107
4180,CALIFORNIA,TUOLUMNE,CA,06109
4195,CALIFORNIA,VENTURA,CA,06111
4223,CALIFORNIA,YOLO,CA,06113
4241,CALIFORNIA,YUBA,CA,06115
4290,COLORADO,ADAMS,CO,08001
4309,COLORADO,ALAMOSA,CO,08003
4312,COLORADO,ARAPAHOE,CO,08005
4327,COLORADO,ARCHULETA,CO,08007
4331,COLORADO,BACA,CO,08009
4341,COLORADO,BENT,CO,08011
4346,COLORADO,BOULDER,CO,08013
4363,COLORADO,CHAFFEE,CO,08015
4369,COLORADO,CHEYENNE,CO,08017
4374,COLORADO,CLEAR CREEK,CO,08019
4380,COLORADO,CONEJOS,CO,08021
4388,COLORADO,COSTILLA,CO,08023
4397,COLORADO,CROWLEY,CO,08025
4401,COLORADO,CUSTER,CO,08027
4404,COLORADO,DELTA,CO,08029
4414,COLORADO,DENVER,CO,08031
4416,COLORADO,DOLORES,CO,08033
4419,COLORADO,DOUGLAS,CO,08035
4429,COLORADO,EAGLE,CO,08037
4443,COLORADO,ELBERT,CO,08039
4450,COLORADO,EL PASO,CO,08041
4473,COLORADO,FREMONT,CO,08043
4491,COLORADO,GARFIELD,CO,08045
4499,COLORADO,GILPIN,CO,08047
4504,COLORADO,GRAND,CO,08049
4513,COLORADO,GUNNISON,CO,08051
4524,COLORADO,HINSDALE,CO,08053
4525,COLORADO,HUERFANO,CO,08055
4531,COLORADO,JACKSON,CO,08057
4536,COLORADO,JEFFERSON,CO,08059
4561,COLORADO,KIOWA,CO,08061
4567,COLORADO,KIT CARSON,CO,08063
4573,COLORADO,LAKE,CO,08065
4576,COLORADO,LA PLATA,CO,08067
4583,COLORADO,LARIMER,CO,08069
4599,COLORADO,LAS ANIMAS,CO,08071
4617,COLORADO,LINCOLN,CO,08073
4624,COLORADO,LOGAN,CO,08075
4632,COLORADO,MESA,CO,08077
4646,COLORADO,MINERAL,CO,08079
4647,COLORADO,MOFFAT,CO,08081
4655,COLORADO,MONTEZUMA,CO,08083
4663,COLORADO,MONTROSE,CO,08085
4673,COLORADO,MORGAN,CO,08087
4683,COLORADO,OTERO,CO,08089
4691,COLORADO,OURAY,CO,08091
4696,COLORADO,PARK,CO,08093
4706,COLORADO,PHILLIPS,CO,08095
4710,COLORADO,PITKIN,CO,08097
4716,COLORADO,PROWERS,CO,08099
4722,COLORADO,PUEBLO,CO,08101
4729,COLORADO,RIO BLANCO,CO,08103
4732,COLORADO,RIO GRANDE,CO,08105
4737,COLORADO,ROUTT,CO,08107
4747,COLORADO,SAGUACHE,CO,08109
4755,COLORADO,SAN JUAN,CO,08111
4756,COLORADO,SAN MIGUEL,CO,08113
4762,COLORADO,SEDGWICK,CO,08115
4765,COLORADO,SUMMIT,CO,08117
4773,COLORADO,TELLER,CO,08119
4780,COLORADO,WASHINGTON,CO,08121
4787,COLORADO,WELD,CO,08123
4824,COLORADO,YUMA,CO,08125
4833,COLORADO,BATTLEMENT MESA,CO,08145
4834,COLORADO,BROOMFIELD,CO,08014
4847,CONNECTICUT,FAIRFIELD,CT,09001
4883,CONNECTICUT,HARTFORD,CT,09003
4936,CONNECTICUT,LITCHFIELD,CT,09005
4986,CONNECTICUT,MIDDLESEX,CT,09007
5010,CONNECTICUT,NEW HAVEN,CT,09009
5043,CONNECTICUT,NEW LONDON,CT,09011
5090,CONNECTICUT,TOLLAND,CT,09013
5115,CONNECTICUT,WINDHAM,CT,09015
5157,DELAWARE,KENT,DE,10001
5181,DELAWARE,NEW CASTLE,DE,10003
5214,DELAWARE,SUSSEX,DE,10005
5244,DISTRICT OF COLUMBIA,"WASHINGTON, DC",DC,11001
5251,FLORIDA,ALACHUA,FL,12001
5268,FLORIDA,BAKER,FL,12003
5272,FLORIDA,BAY,FL,12005
5288,FLORIDA,BRADFORD,FL,12007
5294,FLORIDA,BREVARD,FL,12009
5320,FLORIDA,BROWARD,FL,12011
5355,FLORIDA,CALHOUN,FL,12013
5359,FLORIDA,CHARLOTTE,FL,12015
5368,FLORIDA,CITRUS,FL,12017
5377,FLORIDA,CLAY,FL,12019
5386,FLORIDA,COLLIER,FL,12021
5397,FLORIDA,COLUMBIA,FL,12023
5401,FLORIDA,DE SOTO,FL,12027
5404,FLORIDA,DIXIE,FL,12029
5409,FLORIDA,DUVAL,FL,12031
5417,FLORIDA,ESCAMBIA,FL,12033
5432,FLORIDA,FLAGLER,FL,12035
5436,FLORIDA,FRANKLIN,FL,12037
5440,FLORIDA,GADSDEN,FL,12039
5447,FLORIDA,GILCHRIST,FL,12041
5449,FLORIDA,GLADES,FL,12043
5451,FLORIDA,GULF,FL,12045
5457,FLORIDA,HAMILTON,FL,12047
5460,FLORIDA,HARDEE,FL,12049
5464,FLORIDA,HENDRY,FL,12051
5469,FLORIDA,HERNANDO,FL,12053
5476,FLORIDA,HIGHLANDS,FL,12055
5484,FLORIDA,HILLSBOROUGH,FL,12057
5506,FLORIDA,HOLMES,FL,12059
5511,FLORIDA,INDIAN RIVER,FL,12061
5519,FLORIDA,JACKSON,FL,12063
5531,FLORIDA,JEFFERSON,FL,12065
5535,FLORIDA,LAFAYETTE,FL,12067
5537,FLORIDA,LAKE,FL,12069
5562,FLORIDA,LEE,FL,12071
5577,FLORIDA,LEON,FL,12073
5579,FLORIDA,LEVY,FL,12075
5588,FLORIDA,LIBERTY,FL,12077
5593,FLORIDA,MADISON,FL,12079
5597,FLORIDA,MANATEE,FL,12081
5618,FLORIDA,MARION,FL,12083
5639,FLORIDA,MARTIN,FL,12085
5649,FLORIDA,MONROE,FL,12087
5665,FLORIDA,NASSAU,FL,12089
5673,FLORIDA,OKALOOSA,FL,12091
5687,FLORIDA,OKEECHOBEE,FL,12093
5690,FLORIDA,ORANGE,FL,12095
5720,FLORIDA,OSCEOLA,FL,12097
5725,FLORIDA,PALM BEACH,FL,12099
5772,FLORIDA,PASCO,FL,12101
5791,FLORIDA,PINELLAS,FL,12103
5820,FLORIDA,POLK,FL,12105
5856,FLORIDA,PUTNAM,FL,12107
5872,FLORIDA,ST JOHNS,FL,12109
5880,FLORIDA,ST LUCIE,FL,12111
5884,FLORIDA,SANTA ROSA,FL,12113
5893,FLORIDA,SARASOTA,FL,12115
5905,FLORIDA,SEMINOLE,FL,12117
5920,FLORIDA,SUMTER,FL,12119
5929,FLORIDA,SUWANNEE,FL,12121
5934,FLORIDA,TAYLOR,FL,12123
5938,FLORIDA,UNION,FL,12125
5941,FLORIDA,VOLUSIA,FL,12127
5966,FLORIDA,WAKULLA,FL,12129
5971,FLORIDA,WALTON,FL,12131
5979,FLORIDA,WASHINGTON,FL,12133
5984,FLORIDA,MIAMI-DADE,FL,12086
6063,GEORGIA,APPLING,GA,13001
6066,GEORGIA,ATKINSON,GA,13003
6069,GEORGIA,BACON,GA,13005
6070,GEORGIA,BAKER,GA,13007
6072,GEORGIA,BALDWIN,GA,13009
6075,GEORGIA,BANKS,GA,13011
6081,GEORGIA,BARROW,GA,13013
6087,GEORGIA,BARTOW,GA,13015
6097,GEORGIA,BEN HILL,GA,13017
6098,GEORGIA,BERRIEN,GA,13019
6102,GEORGIA,BIBB,GA,13021
6106,GEORGIA,BLECKLEY,GA,13023
6107,GEORGIA,BRANTLEY,GA,13025
6112,GEORGIA,BROOKS,GA,13027
6118,GEORGIA,BRYAN,GA,13029
6123,GEORGIA,BULLOCH,GA,13031
6128,GEORGIA,BURKE,GA,13033
6137,GEORGIA,BUTTS,GA,13035
6141,GEORGIA,CALHOUN,GA,13037
6145,GEORGIA,CAMDEN,GA,13039
6152,GEORGIA,CANDLER,GA,13043
6154,GEORGIA,CARROLL,GA,13045
6163,GEORGIA,CATOOSA,GA,13047
6166,GEORGIA,CHARLTON,GA,13049
6170,GEORGIA,CHATHAM,GA,13051
6182,GEORGIA,CHATTAHOOCHEE,GA,13053
6183,GEORGIA,CHATTOOGA,GA,13055
6189,GEORGIA,CHEROKEE,GA,13057
6197,GEORGIA,CLARKE,GA,13059
6201,GEORGIA,CLAY,GA,13061
6203,GEORGIA,CLAYTON,GA,13063
6216,GEORGIA,CLINCH,GA,13065
6221,GEORGIA,COBB,GA,13067
6233,GEORGIA,COFFEE,GA,13069
6238,GEORGIA,COLQUITT,GA,13071
6247,GEORGIA,COLUMBIA,GA,13073
6253,GEORGIA,COOK,GA,13075
6257,GEORGIA,COWETA,GA,13077
6270,GEORGIA,CRAWFORD,GA,13079
6273,GEORGIA,CRISP,GA,13081
6275,GEORGIA,DADE,GA,13083
6278,GEORGIA,DAWSON,GA,13085
6280,GEORGIA,DECATUR,GA,13087
6285,GEORGIA,DODGE,GA,13091
6292,GEORGIA,DOOLY,GA,13093
6297,GEORGIA,DOUGHERTY,GA,13095
6300,GEORGIA,DOUGLAS,GA,13097
6305,GEORGIA,EARLY,GA,13099
6311,GEORGIA,ECHOLS,GA,13101
6314,GEORGIA,EFFINGHAM,GA,13103
6321,GEORGIA,ELBERT,GA,13105
6326,GEORGIA,EMANUEL,GA,13107
6340,GEORGIA,EVANS,GA,13109
6345,GEORGIA,FANNIN,GA,13111
6353,GEORGIA,FAYETTE,GA,13113
6359,GEORGIA,FLOYD,GA,13115
6368,GEORGIA,FORSYTH,GA,13117
6370,GEORGIA,FRANKLIN,GA,13119
6375,GEORGIA,FULTON,GA,13121
6389,GEORGIA,GILMER,GA,13123
6394,GEORGIA,GLASCOCK,GA,13125
6396,GEORGIA,GLYNN,GA,13127
6403,GEORGIA,GORDON,GA,13129
6412,GEORGIA,GRADY,GA,13131
6417,GEORGIA,GREENE,GA,13133
6423,GEORGIA,GWINNETT,GA,13135
6436,GEORGIA,HABERSHAM,GA,13137
6445,GEORGIA,HALL,GA,13139
6457,GEORGIA,HANCOCK,GA,13141
6460,GEORGIA,HARALSON,GA,13143
6465,GEORGIA,HARRIS,GA,13145
6473,GEORGIA,HART,GA,13147
6478,GEORGIA,HEARD,GA,13149
6482,GEORGIA,HENRY,GA,13151
6487,GEORGIA,HOUSTON,GA,13153
6498,GEORGIA,IRWIN,GA,13155
6503,GEORGIA,JACKSON,GA,13157
6513,GEORGIA,JASPER,GA,13159
6520,GEORGIA,JEFF DAVIS,GA,13161
6522,GEORGIA,JEFFERSON,GA,13163
6531,GEORGIA,JENKINS,GA,13165
6534,GEORGIA,JOHNSON,GA,13167
6538,GEORGIA,JONES,GA,13169
6545,GEORGIA,LAMAR,GA,13171
6549,GEORGIA,LANIER,GA,13173
6551,GEORGIA,LAURENS,GA,13175
6561,GEORGIA,LEE,GA,13177
6563,GEORGIA,LIBERTY,GA,13179
6572,GEORGIA,LINCOLN,GA,13181
6573,GEORGIA,LONG,GA,13183
6575,GEORGIA,LOWNDES,GA,13185
6583,GEORGIA,LUMPKIN,GA,13187
6584,GEORGIA,MCDUFFIE,GA,13189
6588,GEORGIA,MCINTOSH,GA,13191
6595,GEORGIA,MACON,GA,13193
6599,GEORGIA,MADISON,GA,13195
6607,GEORGIA,MARION,GA,13197
6610,GEORGIA,MERIWETHER,GA,13199
6627,GEORGIA,MILLER,GA,13201
6629,GEORGIA,MITCHELL,GA,13205
6635,GEORGIA,MONROE,GA,13207
6640,GEORGIA,MONTGOMERY,GA,13209
6647,GEORGIA,MORGAN,GA,13211
6654,GEORGIA,MURRAY,GA,13213
6661,GEORGIA,MUSCOGEE,GA,13215
6664,GEORGIA,NEWTON,GA,13217
6670,GEORGIA,OCONEE,GA,13219
6677,GEORGIA,OGLETHORPE,GA,13221
6683,GEORGIA,PAULDING,GA,13223
6686,GEORGIA,PEACH,GA,13225
6689,GEORGIA,PICKENS,GA,13227
6694,GEORGIA,PIERCE,GA,13229
6699,GEORGIA,PIKE,GA,13231
6704,GEORGIA,POLK,GA,13233
6709,GEORGIA,PULASKI,GA,13235
6711,GEORGIA,PUTNAM,GA,13237
6712,GEORGIA,QUITMAN,GA,13239
6714,GEORGIA,RABUN,GA,13241
6723,GEORGIA,RANDOLPH,GA,13243
6729,GEORGIA,RICHMOND,GA,13245
6736,GEORGIA,ROCKDALE,GA,13247
6738,GEORGIA,SCHLEY,GA,13249
6739,GEORGIA,SCREVEN,GA,13251
6745,GEORGIA,SEMINOLE,GA,13253
6747,GEORGIA,SPALDING,GA,13255
6753,GEORGIA,STEPHENS,GA,13257
6758,GEORGIA,STEWART,GA,13259
6763,GEORGIA,SUMTER,GA,13261
6770,GEORGIA,TALBOT,GA,13263
6776,GEORGIA,TALIAFERRO,GA,13265
6779,GEORGIA,TATTNALL,GA,13267
6785,GEORGIA,TAYLOR,GA,13269
6791,GEORGIA,TELFAIR,GA,13271
6798,GEORGIA,TERRELL,GA,13273
6804,GEORGIA,THOMAS,GA,13275
6813,GEORGIA,TIFT,GA,13277
6819,GEORGIA,TOOMBS,GA,13279
6823,GEORGIA,TOWNS,GA,13281
6825,GEORGIA,TREUTLEN,GA,13283
6826,GEORGIA,TROUP,GA,13285
6831,GEORGIA,TURNER,GA,13287
6835,GEORGIA,TWIGGS,GA,13289
6840,GEORGIA,UNION,GA,13291
6842,GEORGIA,UPSON,GA,13293
6847,GEORGIA,WALKER,GA,13295
6857,GEORGIA,WALTON,GA,13297
6867,GEORGIA,WARE,GA,13299
6873,GEORGIA,WARREN,GA,13301
6879,GEORGIA,WASHINGTON,GA,13303
6887,GEORGIA,WAYNE,GA,13305
6891,GEORGIA,WEBSTER,GA,13307
6893,GEORGIA,WHEELER,GA,13309
6897,GEORGIA,WHITE,GA,13311
6901,GEORGIA,WHITFIELD,GA,13313
6908,GEORGIA,WILCOX,GA,13315
6913,GEORGIA,WILKES,GA,13317
6918,GEORGIA,WILKINSON,GA,13319
6925,GEORGIA,WORTH,GA,13321
6931,GEORGIA,DE KALB,GA,13089
6960,HAWAII,HAWAII,HI,15001
7010,HAWAII,HONOLULU,HI,15003
7058,HAWAII,KAUAI,HI,15007
7082,HAWAII,MAUI,HI,15009
7130,HAWAII,KALAWAO,HI,15005
7131,IDAHO,ADA,ID,16001
7139,IDAHO,ADAMS,ID,16003
7144,IDAHO,BANNOCK,ID,16005
7153,IDAHO,BEAR LAKE,ID,16007
7164,IDAHO,BENEWAH,ID,16009
7173,IDAHO,BINGHAM,ID,16011
7185,IDAHO,BLAINE,ID,16013
7191,IDAHO,BOISE,ID,16015
7198,IDAHO,BONNER,ID,16017
7216,IDAHO,BONNEVILLE,ID,16019
7225,IDAHO,BOUNDARY,ID,16021
7231,IDAHO,BUTTE,ID,16023
7237,IDAHO,CAMAS,ID,16025
7240,IDAHO,CANYON,ID,16027
7249,IDAHO,CARIBOU,ID,16029
7254,IDAHO,CASSIA,ID,16031
7263,IDAHO,CLARK,ID,16033
7265,IDAHO,CLEARWATER,ID,16035
7272,IDAHO,CUSTER,ID,16037
7281,IDAHO,ELMORE,ID,16039
7289,IDAHO,FRANKLIN,ID,16041
7297,IDAHO,FREMONT,ID,16043
7308,IDAHO,GEM,ID,16045
7314,IDAHO,GOODING,ID,16047
7318,IDAHO,IDAHO,ID,16049
7334,IDAHO,JEFFERSON,ID,16051
7345,IDAHO,JEROME,ID,16053
7348,IDAHO,KOOTENAI,ID,16055
7367,IDAHO,LATAH,ID,16057
7378,IDAHO,LEMHI,ID,16059
7390,IDAHO,LEWIS,ID,16061
7395,IDAHO,LINCOLN,ID,16063
7398,IDAHO,MADISON,ID,16065
7402,IDAHO,MINIDOKA,ID,16067
7407,IDAHO,NEZ PERCE,ID,16069
7415,IDAHO,ONEIDA,ID,16071
7418,IDAHO,OWYHEE,ID,16073
7425,IDAHO,PAYETTE,ID,16075
7428,IDAHO,POWER,ID,16077
7431,IDAHO,SHOSHONE,ID,16079
7448,IDAHO,TETON,ID,16081
7452,IDAHO,TWIN FALLS,ID,16083
7461,IDAHO,VALLEY,ID,16085
7466,IDAHO,WASHINGTON,ID,16087
7469,ILLINOIS,ADAMS,IL,17001
7488,ILLINOIS,ALEXANDER,IL,17003
7500,ILLINOIS,BOND,IL,17005
7509,ILLINOIS,BOONE,IL,17007
7514,ILLINOIS,BROWN,IL,17009
7517,ILLINOIS,BUREAU,IL,17011
7543,ILLINOIS,CALHOUN,IL,17013
7553,ILLINOIS,CARROLL,IL,17015
7563,ILLINOIS,CASS,IL,17017
