,ec_county,child_ec_county,support_ratio_county,volunteering_rate_county,civic_organizations_county,clustering_county
0,0.72077,1.11754,0.98275,0.04355,0.01518,0.10347
1,0.74313003,0.83064002,0.98684001,0.061170001,0.01526,0.096239999
2,0.41365999,0.58541,0.99910998,0.02093,0.01474,0.14911
3,0.63151997,0.72264999,0.99716002,0.05294,0.01439,0.14252
4,0.72561997,0.76095998,0.99068999,0.057039998,0.017240001,0.11243
5,0.35515001,,1.0,0.017130001,0.0097500002,0.18581
6,0.46026,0.63507003,1.0,0.038070001,0.01286,0.16094001
7,0.60189003,0.80397999,0.99700999,0.053130001,0.01739,0.11236
8,0.49761,0.62215,0.99759001,0.025660001,0.01098,0.13574
9,0.60461003,0.61975002,0.99697,0.046659999,0.017960001,0.12273
10,0.63505,0.69858998,0.99571002,0.043400001,0.01515,0.11835
11,0.67873001,0.54825997,0.99840999,0.029410001,0.01217,0.16136999
12,0.56535,0.68379003,0.99831003,0.029850001,0.01082,0.16028
13,0.57560998,0.86899,0.99790001,0.037909999,0.01335,0.13297001
14,0.69016999,0.69476002,0.99343997,0.05923,0.0188,0.11669
15,0.68441999,0.99527001,0.98683,0.053630002,0.01115,0.097510003
16,0.64434999,0.77718002,0.99436003,0.054359999,0.01223,0.11592
17,0.44521999,,0.99812001,0.021400001,0.01334,0.15876
18,0.48805001,,0.98088002,0.030440001,0.0142,0.13034999
19,0.60332,0.70292002,0.99905998,0.032450002,0.01542,0.12664001
20,0.60762,0.73427999,0.99773002,0.0372,0.01466,0.13204999
21,0.65998,0.77515,0.99382001,0.03751,0.0122,0.10496
22,0.63924998,0.75909001,0.98250002,0.05418,0.01732,0.099959999
23,0.45451,0.56362998,0.99936998,0.06154,0.01578,0.16320001
24,0.59283,0.59898001,0.99579,0.03723,0.01482,0.11258
25,0.69626999,0.92319,0.98908001,0.048909999,0.01296,0.10608
26,0.46434,0.59649998,1.0,0.029829999,0.01554,0.14405
27,0.59388,0.70437002,0.99601001,0.10062,0.01497,0.11482
28,0.68558002,0.61176997,0.99755001,0.04036,0.01137,0.13292
29,0.57484001,0.57801002,0.99583,0.03076,0.01146,0.12577
30,0.58556002,0.63264,0.99361002,0.040070001,0.01518,0.11434
31,0.458,,0.99800003,0.023879999,0.01494,0.17622
32,0.58731002,0.56084001,0.99646002,0.03379,0.01227,0.1498
33,0.60405999,0.69160002,0.99054003,0.031909999,0.019339999,0.11537
34,0.57523,0.81533003,0.99401999,0.036819998,0.01367,0.10276
35,0.57870001,0.64797002,0.99743998,0.039099999,0.01501,0.1224
36,0.59913999,0.74403,0.99241,0.061239999,0.01602,0.095320001
37,0.71999002,0.46472001,1.0,0.033149999,0.01517,0.14041001
38,0.69683999,0.80091,0.99726999,0.05923,0.019130001,0.11744
39,0.63709003,0.77948999,0.99711001,0.075659998,0.01598,0.12177
40,0.72622001,0.89086002,0.99093997,0.054719999,0.01548,0.11028
41,0.70283997,0.83678001,0.98565,0.049339999,0.01228,0.1044
42,0.41341001,0.45875999,0.99537998,0.02665,0.02108,0.15244
43,0.45666999,0.4395,0.99694997,0.022539999,0.027079999,0.13407999
44,0.74789,1.10624,0.98901999,0.067910001,0.01661,0.098099999
