par_state,par_county,kid_race,par_pctile,shrunk_xkid_brcbalance2020,county_name
1,15,Hispanic,25,3219,Calhoun
1,15,Pooled,25,2748.52782369146,Calhoun
1,15,White,75,4988,Calhoun
1,15,AIAN,75,4103,Calhoun
1,15,Pooled,75,5030.462815884476,Calhoun
1,15,Black,50,3467,Calhoun
1,15,Asian,-9,6671.5,Calhoun
1,15,AIAN,-9,2946,Calhoun
1,15,AIAN,50,2946,Calhoun
1,15,White,-9,3965.5,Calhoun
1,15,Hispanic,50,5057.5,Calhoun
1,15,Black,25,2258,Calhoun
1,15,Pooled,50,3889.495319787968,Calhoun
1,15,Black,75,4676,Calhoun
1,15,White,50,3965.5,Calhoun
1,15,White,25,2943,Calhoun
1,15,Black,-9,2758.039660056657,Calhoun
1,15,Hispanic,75,6896,Calhoun
1,15,Asian,75,8181,Calhoun
1,15,Asian,25,5162,Calhoun
1,15,Hispanic,-9,4751.083333333333,Calhoun
1,15,Pooled,-9,3736.1778125,Calhoun
1,15,AIAN,25,1789,Calhoun
1,17,White,-9,4046.531914893617,Chambers
1,17,Black,-9,2168.92817679558,Chambers
1,17,White,25,3059,Chambers
1,17,Pooled,25,2506.173010380623,Chambers
1,17,Hispanic,75,4611,Chambers
1,17,Pooled,75,4827.222222222223,Chambers
1,17,Pooled,50,3666.697616301423,Chambers
1,17,White,50,4068,Chambers
1,17,Black,50,2583,Chambers
1,17,Hispanic,50,4056,Chambers
1,17,Hispanic,-9,4056,Chambers
1,17,Black,75,3086,Chambers
1,17,Hispanic,25,3501,Chambers
1,17,White,75,5077,Chambers
1,17,Pooled,-9,3245.186320754718,Chambers
1,17,Black,25,2080,Chambers
1,19,Pooled,-9,3103.201183431953,Cherokee
1,19,White,25,2409,Cherokee
1,19,Black,50,2602,Cherokee
1,19,Pooled,25,2394.255924170616,Cherokee
1,19,Pooled,50,3337.655521140427,Cherokee
1,19,Hispanic,75,4961,Cherokee
1,19,Black,-9,2602,Cherokee
1,19,Hispanic,25,2559,Cherokee
1,19,Hispanic,-9,3760,Cherokee
1,19,White,75,4314,Cherokee
1,19,Pooled,75,4281.055118110236,Cherokee
1,19,White,50,3361.5,Cherokee
1,19,White,-9,3098.309210526316,Cherokee
1,19,Black,75,3274,Cherokee
1,19,Black,25,1930,Cherokee
1,19,Hispanic,50,3760,Cherokee
1,21,Pooled,75,4393.518248175183,Chilton
1,21,White,-9,3456.428571428572,Chilton
1,21,White,75,4568,Chilton
1,21,Hispanic,75,2658,Chilton
1,21,Hispanic,25,2045,Chilton
1,21,Black,-9,1991.511111111111,Chilton
1,21,Black,75,2535,Chilton
1,21,Black,50,2204.5,Chilton
1,21,Pooled,25,2419.989795918367,Chilton
1,21,White,50,3564,Chilton
1,21,Hispanic,50,2351.5,Chilton
1,21,Pooled,-9,3231.921921921922,Chilton
1,21,Hispanic,-9,2351.5,Chilton
1,21,Pooled,50,3406.754022046775,Chilton
1,21,Black,25,1874,Chilton
1,21,White,25,2560,Chilton
1,23,Pooled,75,4568.388888888889,Choctaw
1,23,Black,-9,2458.375,Choctaw
1,23,Pooled,-9,3196.242038216561,Choctaw
1,23,Black,50,3140.5,Choctaw
1,23,White,50,3804,Choctaw
1,23,Pooled,25,2476.864077669903,Choctaw
1,23,White,25,2917,Choctaw
1,23,Hispanic,-9,3433,Choctaw
1,23,White,-9,3861.597402597402,Choctaw
1,23,Hispanic,50,3433,Choctaw
1,23,White,75,4691,Choctaw
1,23,Black,25,2231,Choctaw
1,23,Pooled,50,3522.626483279396,Choctaw
1,23,Black,75,4050,Choctaw
1,23,Hispanic,25,2388,Choctaw
1,23,Hispanic,75,4478,Choctaw
1,25,Hispanic,50,3666.5,Clarke
1,25,Hispanic,25,2766,Clarke
1,25,Pooled,-9,3390.479876160991,Clarke
1,25,White,75,4696,Clarke
1,25,White,-9,4035.544910179641,Clarke
1,25,Pooled,25,2618.378109452736,Clarke
1,25,Black,25,2386,Clarke
1,25,Hispanic,-9,3666.5,Clarke
1,25,AIAN,75,4671,Clarke
1,25,Hispanic,75,4567,Clarke
1,25,Pooled,75,4662.549180327869,Clarke
1,25,White,25,3074,Clarke
1,25,AIAN,50,3329,Clarke
1,25,Black,50,3425.5,Clarke
1,25,AIAN,-9,3329,Clarke
1,25,Black,-9,2608.75,Clarke
1,25,Black,75,4465,Clarke
1,25,White,50,3885,Clarke
1,25,AIAN,25,1987,Clarke
1,25,Pooled,50,3640.463644890303,Clarke
1,27,White,50,3405,Clay
1,27,Hispanic,50,3934,Clay
1,27,Black,50,2922.5,Clay
1,27,Pooled,75,4373.811764705883,Clay
1,27,Black,75,3818,Clay
1,27,White,-9,3215.536585365854,Clay
1,27,Pooled,25,2398.170731707317,Clay
1,27,Black,-9,2730.607142857143,Clay
1,27,Pooled,-9,3205.524038461539,Clay
1,27,Pooled,50,3385.9912482066,Clay
1,27,White,75,4376,Clay
1,27,Hispanic,-9,3934,Clay
1,27,Hispanic,25,2748,Clay
1,27,White,25,2434,Clay
1,27,Hispanic,75,5120,Clay
1,27,Black,25,2027,Clay
1,29,Hispanic,75,3658,Cleburne
1,29,Black,75,4407,Cleburne
1,29,Black,25,2304,Cleburne
1,29,Hispanic,50,3268.5,Cleburne
1,29,White,75,5107,Cleburne
1,29,Pooled,75,4902.333333333333,Cleburne
1,29,Pooled,50,3804.333333333333,Cleburne
1,29,Black,50,3355.5,Cleburne
1,29,Pooled,-9,3610.56862745098,Cleburne
1,29,White,25,2724,Cleburne
1,29,Hispanic,25,2879,Cleburne
1,29,Pooled,25,2706.333333333333,Cleburne
1,29,White,-9,3666.116279069768,Cleburne
1,29,White,50,3915.5,Cleburne
1,29,Black,-9,3355.5,Cleburne
1,29,Hispanic,-9,3268.5,Cleburne
1,31,White,50,4664.5,Coffee
1,31,AIAN,25,2628,Coffee
1,31,Hispanic,-9,5943,Coffee
1,31,AIAN,-9,3494.5,Coffee
1,31,Black,50,3599.5,Coffee
1,31,White,75,5678,Coffee
1,31,Pooled,75,5639.023255813953,Coffee
1,31,Asian,75,4284,Coffee
1,31,Pooled,-9,4504.431177446103,Coffee
1,31,Pooled,25,3373.596026490066,Coffee
1,31,Black,75,4774,Coffee
1,31,AIAN,75,4361,Coffee
1,31,Hispanic,25,4587,Coffee
1,31,White,25,3651,Coffee
1,31,AIAN,50,3494.5,Coffee
1,31,Asian,-9,6206,Coffee
1,31,Asian,50,6206,Coffee
1,31,Hispanic,75,7186,Coffee
1,31,Hispanic,50,5886.5,Coffee
1,31,Black,25,2425,Coffee
