fips,state,county,Financial Well-Being,Air Pollution and Climate Risk,Security,Housing,Health and Quality of Life,Mobility and Infrastructure,Social Capital and Community,"Food, Water, Amenities"
01001,Alabama,Autauga,52.44134432466709,33.91416585995483,98.0767034451537,82.51118242235229,32.123043295438414,25.938566552901023,67.10909679507931,54.64168911149633
01003,Alabama,Baldwin,63.47495244134432,14.42400774443369,99.243943370915,78.29308199864309,38.1804083486349,35.06050263729445,52.411783748786014,53.90914679063519
01005,Alabama,Barbour,17.786937222574508,54.469183607615356,99.10322777580572,84.01713748361993,23.125886833913817,37.883959044368595,1.424409193913888,35.549466905566696
01007,Alabama,Bibb,8.909321496512366,63.98838334946757,97.65531385728788,76.66020930426706,24.029633846023376,5.088426931430362,11.20103593395921,46.265774349447334
01009,Alabama,Blount,37.79327837666455,33.88189738625363,96.9395439352402,81.74399264630082,22.10770121183935,2.3270245113248365,34.41243120751052,47.636644707056135
01011,Alabama,Bullock,3.614457831325301,78.702807357212,97.72169841937824,73.77701706545392,15.89663313490416,15.203226807322366,0.5827128520556815,23.369989531124496
01013,Alabama,Butler,17.121116043119848,57.9541787673443,,86.37988963825826,22.044262787052524,34.93639466335712,1.7481385561670444,45.78886520674136
01015,Alabama,Calhoun,43.119847812301835,13.843175217812199,96.91049899470914,84.0291720504172,27.870147891524365,56.282966180577105,23.858853998057626,38.64029300295031
01017,Alabama,Chambers,15.599239061509197,49.435301710229105,98.43580771914648,80.10836607023467,23.79044961645476,47.84362395283897,4.2408546455163485,44.47850280554796
01019,Alabama,Cherokee,13.4432466708941,40.980961600516295,94.87802874057805,92.00758422564051,23.08492529784293,15.761712690040326,13.013920362576886,44.95848596257107
01021,Alabama,Chilton,15.18706404565631,46.59567602452404,96.16639828682274,85.58808176908227,24.166302653697816,6.050263729444623,17.157656199417286,46.55128202682694
01023,Alabama,Choctaw,2.8852251109701967,47.56373023555986,97.50503823065748,84.2303846065484,22.37173461196169,2.140862550418859,3.3020394949821954,36.33251926580759
01025,Alabama,Clarke,2.536461636017755,55.8567279767667,96.55557659955112,87.42577648621533,21.572720641718828,22.68073223704623,3.3667853674328265,30.40496488423804
01027,Alabama,Clay,12.175015852885226,78.1865117779929,97.65087292121092,93.12514592446544,22.833299115833892,24.759540800496424,14.697313046293296,44.70981739163077
01029,Alabama,Cleburne,16.80405833861763,73.15262988060664,97.2028222229254,93.75654249879032,24.062950938667335,4.840210983555679,24.99190676594367,44.3242391669773
01031,Alabama,Coffee,56.37285986049461,25.492094223943205,98.86441111479166,85.93765821223629,31.809914450481884,56.22091219360844,54.54839753965685,46.39805140457659
01033,Alabama,Colbert,49.80976537729867,23.71732817037754,98.68501758328009,85.12749926474349,33.384067262824296,60.59571827489916,23.30851408222726,43.67829120835267
01035,Alabama,Conecuh,3.5193405199746355,74.4111003549532,99.499295230573,90.49821230762151,18.809152606483508,19.174681973316794,3.4315312398834577,35.77345575010584
01037,Alabama,Coosa,7.450856055802156,86.80219425621168,95.13156357819764,97.19694090469878,22.26929168483169,20.819112627986343,15.959857559080609,47.648006064272245
01039,Alabama,Covington,35.003170577045026,30.429170700225878,99.7379600184524,87.82024202703215,24.11209722897662,57.710207880856345,11.977986403366788,41.47344703069926
01041,Alabama,Crenshaw,11.826252377932784,73.95934172313649,97.37714232193797,87.41119127471457,18.01290468859281,6.205398696866283,12.334088701845255,36.72242205805376
01043,Alabama,Cullman,43.75396322130628,23.007421748951273,97.27880142265434,87.79907900830864,28.35674470745371,27.769159168476577,26.99902881191324,47.36388918307524
01045,Alabama,Dale,54.88268864933418,36.366569861245566,99.01703404293146,87.99051554060671,25.641019713651215,59.013341607198264,39.98057623826481,42.97059347057703
01047,Alabama,Dallas,12.714013950539,34.36592449177154,95.75648372064104,73.20936216913665,21.716733331784663,49.736270555383186,1.5862738750404664,40.55030724375579
