FIPS,County,Social Capital and Community Score
53035,"Kitsap, Washington",53.390164783539554
50007,"Chittenden, Vermont",53.228657219955785
39103,"Medina, Ohio",53.175149972605965
44009,"Washington, Rhode Island",53.08759618640121
13097,"Douglas, Georgia",53.05650680430275
34003,"Bergen, New Jersey",53.010722534664204
19103,"Johnson, Iowa",52.953279159074285
27025,"Chisago, Minnesota",52.95042846566352
12117,"Seminole, Florida",52.910447541020446
55131,"Washington, Wisconsin",52.90606649692666
27027,"Clay, Minnesota",52.732646118744555
42017,"Bucks, Pennsylvania",52.66125696597136
51075,"Goochland, Virginia",52.650993152716076
24037,"St. Mary's, Maryland",52.63803413744094
31143,"Polk, Nebraska",52.60431842966026
55025,"Dane, Wisconsin",52.501558132412384
48209,"Hays, Texas",52.454058196607946
51137,"Orange, Virginia",52.443983757333825
6057,"Nevada, California",52.436470377728796
2122,"Kenai Peninsula, Alaska",52.37630398298805
49005,"Cache, Utah",52.33857348701445
42029,"Chester, Pennsylvania",52.19490558173848
40017,"Canadian, Oklahoma",52.12881142868403
49045,"Tooele, Utah",52.013640582133824
18011,"Boone, Indiana",52.00512483503773
12097,"Osceola, Florida",51.91946645973344
36091,"Saratoga, New York",51.87699739575788
2110,"Juneau, Alaska",51.85056562816322
33011,"Hillsborough, New Hampshire",51.80979550507986
51095,"James City, Virginia",51.79564873518859
48187,"Guadalupe, Texas",51.791790374219005
12109,"St. Johns, Florida",51.762893091534124
27053,"Hennepin, Minnesota",51.76183711549543
26089,"Leelanau, Michigan",51.65848752593409
16057,"Latah, Idaho",51.6406515135452
31177,"Washington, Nebraska",51.60113709474125
40027,"Cleveland, Oklahoma",51.582714669055896
36061,"New York, New York",51.580911214508404
53073,"Whatcom, Washington",51.51846871432332
23005,"Cumberland, Maine",51.5099550560701
49051,"Wasatch, Utah",51.49747213324074
13151,"Henry, Georgia",51.49533014992146
31159,"Seward, Nebraska",51.44446899794697
8051,"Gunnison, Colorado",51.41608353998613
48157,"Fort Bend, Texas",51.39099906222276
19121,"Madison, Iowa",51.35368501130908
34041,"Warren, New Jersey",51.31187028292413
8107,"Routt, Colorado",51.30237945035828
46127,"Union, South Dakota",51.28852990713039
24033,"Prince George's, Maryland",51.27517448039013
9005,"Litchfield, Connecticut",51.271887465685815
27109,"Olmsted, Minnesota",51.22202153953551
6013,"Contra Costa, California",51.05934885216348
16085,"Valley, Idaho",51.044486457121415
33017,"Strafford, New Hampshire",50.982807742372316
2220,"Sitka, Alaska",50.95289725308575
13121,"Fulton, Georgia",50.94513971716535
38101,"Ward, North Dakota",50.944800765469836
31063,"Frontier, Nebraska",50.91494451513102
8001,"Adams, Colorado",50.8800833706361
41053,"Polk, Oregon",50.87833499535358
27123,"Ramsey, Minnesota",50.853663768328325
51127,"New Kent, Virginia",50.80738290486384
30095,"Stillwater, Montana",50.706277374799924
38055,"McLean, North Dakota",50.68835679272624
18059,"Hancock, Indiana",50.607411905417756
19017,"Bremer, Iowa",50.57253263431143
34005,"Burlington, New Jersey",50.52439642288748
48453,"Travis, Texas",50.457635855989565
8113,"San Miguel, Colorado",50.448463274587965
38021,"Dickey, North Dakota",50.381651661196834
51041,"Chesterfield, Virginia",50.33384313838304
35043,"Sandoval, New Mexico",50.32191430999687
27009,"Benton, Minnesota",50.314685833113785
37183,"Wake, North Carolina",50.29746062239522
54037,"Jefferson, West Virginia",50.27822815807338
16051,"Jefferson, Idaho",50.27420960723858
17037,"DeKalb, Illinois",50.17362418205972
48065,"Carson, Texas",50.12243082594563
6073,"San Diego, California",50.094669266517144
12019,"Clay, Florida",50.04238262644822
49053,"Washington, Utah",50.028093719630576
27039,"Dodge, Minnesota",50.02243951919729
39159,"Union, Ohio",50.0151265466308
34015,"Gloucester, New Jersey",50.006992125910465
39057,"Greene, Ohio",49.992353552537395
33001,"Belknap, New Hampshire",49.96862580726944
24005,"Baltimore County, Maryland",49.95590271985045
38049,"McHenry, North Dakota",49.900244227111386
13029,"Bryan, Georgia",49.88034640011938
55093,"Pierce, Wisconsin",49.85662009790737
31155,"Saunders, Nebraska",49.85513809787917
18105,"Monroe, Indiana",49.81752364408364
18081,"Johnson, Indiana",49.81602392253052
34025,"Monmouth, New Jersey",49.80625739720391
37029,"Camden, North Carolina",49.763125152473464
30043,"Jefferson, Montana",49.75282377566907
6079,"San Luis Obispo, California",49.733221171214076
51750,"Radford, Virginia",49.71733485736991
17063,"Grundy, Illinois",49.70615746358226
40087,"McClain, Oklahoma",49.658237538800996
13247,"Rockdale, Georgia",49.64236483101654
48339,"Montgomery, Texas",49.615053004126025
6095,"Solano, California",49.60979275072791
46033,"Custer, South Dakota",49.579506656779834
39173,"Wood, Ohio",49.50261234773143
44001,"Bristol, Rhode Island",49.444065659361264
29043,"Christian, Missouri",49.40320982307846
38053,"McKenzie, North Dakota",49.372375933925795
51093,"Isle of Wight, Virginia",49.34146657520881
21015,"Boone, Kentucky",49.233279353387026
46125,"Turner, South Dakota",49.2186520973853
44003,"Kent, Rhode Island",49.184793739317854
8117,"Summit, Colorado",49.18183214179035
36059,"Nassau, New York",49.159694632767305
56011,"Crook, Wyoming",49.00520691025327
56035,"Sublette, Wyoming",48.99253567513405
48031,"Blanco, Texas",48.9898894616419
25023,"Plymouth, Massachusetts",48.94316897978801
32005,"Douglas, Nevada",48.765289478821586
51069,"Frederick, Virginia",48.758981046968415
51087,"Henrico, Virginia",48.753230221824886
20015,"Butler, Kansas",48.7494773035974
27013,"Blue Earth, Minnesota",48.74179937854078
53005,"Benton, Washington",48.72616191026686
46093,"Meade, South Dakota",48.65994783867571
27049,"Goodhue, Minnesota",48.65898512471831
51003,"Albemarle, Virginia",48.61927200907931
20103,"Leavenworth, Kansas",48.58063092222981
42095,"Northampton, Pennsylvania",48.516974362366675
49021,"Iron, Utah",48.508312947604246
38057,"Mercer, North Dakota",48.501914278539196
6113,"Yolo, California",48.42380681791635
38017,"Cass, North Dakota",48.39905227229585
26139,"Ottawa, Michigan",48.39560839552031
8067,"La Plata, Colorado",48.33787386247992
19113,"Linn, Iowa",48.33053723311451
17089,"Kane, Illinois",48.324718165393065
13073,"Columbia, Georgia",48.30423010341167
29047,"Clay, Missouri",48.295529400841126
36027,"Dutchess, New York",48.290383029846936
49057,"Weber, Utah",48.179608557846045
6009,"Calaveras, California",48.172356805820975
26125,"Oakland, Michigan",48.16283883839038
13157,"Jackson, Georgia",48.14080606272464
51840,"Winchester, Virginia",48.13160955398263
51065,"Fluvanna, Virginia",48.11752893822188
48381,"Randall, Texas",48.11220447517901
42041,"Cumberland, Pennsylvania",48.10756951511845
2261,"Valdez-Cordova, Alaska",48.091930192878195
17133,"Monroe, Illinois",48.05592555583155
17197,"Will, Illinois",48.04840004452968
6071,"San Bernardino, California",48.04815132453669
49003,"Box Elder, Utah",47.95916463961913
6005,"Amador, California",47.95194809265571
33009,"Grafton, New Hampshire",47.944616478577444
38035,"Grand Forks, North Dakota",47.92920805231736
29037,"Cass, Missouri",47.92723123221013
53037,"Kittitas, Washington",47.86828446225047
36103,"Suffolk, New York",47.85823619003908
37133,"Onslow, North Carolina",47.85162178150756
41017,"Deschutes, Oregon",47.82112831677537
13085,"Dawson, Georgia",47.7134904478235
38089,"Stark, North Dakota",47.68551506757573
56029,"Park, Wyoming",47.683098651943766
17113,"McLean, Illinois",47.65605703388894
31179,"Wayne, Nebraska",47.64442380023733
48199,"Hardin, Texas",47.61377302515911
40145,"Wagoner, Oklahoma",47.59972001509636
48019,"Bandera, Texas",47.589542134098785
38015,"Burleigh, North Dakota",47.584103651805734
6097,"Sonoma, California",47.575559428284514
44005,"Newport, Rhode Island",47.53559113474385
38105,"Williams, North Dakota",47.52346960708779
6087,"Santa Cruz, California",47.50926872076539
53031,"Jefferson, Washington",47.49638055711546
36081,"Queens, New York",47.4888960813861
20087,"Jefferson, Kansas",47.45415254783585
51121,"Montgomery, Virginia",47.44738173693236
6065,"Riverside, California",47.436495711761175
42103,"Pike, Pennsylvania",47.43540234727005
56017,"Hot Springs, Wyoming",47.40253433753202
6059,"Orange, California",47.353181188301036
48071,"Chambers, Texas",47.34677161240866
9011,"New London, Connecticut",47.31480071657083
40053,"Grant, Oklahoma",47.27894299416344
13089,"DeKalb, Georgia",47.26498609174824
42027,"Centre, Pennsylvania",47.241508393067306
24015,"Cecil, Maryland",47.19376359509624
55087,"Outagamie, Wisconsin",47.14707469200982
46011,"Brookings, South Dakota",47.10468559802051
32019,"Lyon, Nevada",47.08773497934992
29101,"Johnson, Missouri",47.0699407761336
6067,"Sacramento, California",47.06823152371893
2150,"Kodiak Island, Alaska",47.0162581305884
55139,"Winnebago, Wisconsin",46.9936702112459
53043,"Lincoln, Washington",46.9708584627346
56021,"Laramie, Wyoming",46.96547218057883
17203,"Woodford, Illinois",46.943685885835826
39025,"Clermont, Ohio",46.86822733588011
48221,"Hood, Texas",46.86596419654826
18127,"Porter, Indiana",46.8510524371096
25001,"Barnstable, Massachusetts",46.8308623991234
12113,"Santa Rosa, Florida",46.82518915599931
6069,"San Benito, California",46.81348017440967
36119,"Westchester, New York",46.77713538972826
42089,"Monroe, Pennsylvania",46.742343977209785
8123,"Weld, Colorado",46.69560343550504
26037,"Clinton, Michigan",46.66552738818338
31081,"Hamilton, Nebraska",46.65893002570519
16019,"Bonneville, Idaho",46.654960080865735
34029,"Ocean, New Jersey",46.64315610601463
30063,"Missoula, Montana",46.622377081804736
17007,"Boone, Illinois",46.59525850659762
26111,"Midland, Michigan",46.59076478691554
31099,"Kearney, Nebraska",46.5723653859144
30009,"Carbon, Montana",46.54807781800745
20197,"Wabaunsee, Kansas",46.479287776350844
40131,"Rogers, Oklahoma",46.47698056162582
